code_9d,code_6d,system,subcode,description,source_file
013-014-066,,013,014,"Hardware, Mounting - Rear Axle Spindle",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-067,,013,014,"Support Bracket - Camshaft Chamber, Right",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-068,,013,014,"Support Bracket - Camshaft Chamber, Left",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-069,,013,014,"Snap Ring - Retaining, Cam to Slack Adjuster",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-070,,013,014,"Spacer/Washer - Brake Cam, Tag/Pusher Axle",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-071,,013,014,"Bushing - Support Bracket , Camshaft",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-072,,013,014,"Roller Pin - Camshaft, Tag/Pusher Axle",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-073,,013,014,Washer - Anchor Pin,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-074,,013,014,Pin - Brake Anti-Rattle,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-075,,013,014,Washer - Brake Anti-Rattle,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-076,,013,014,"Diaphragm - Air Chamber, Tag/Pusher Axle",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-077,,013,014,"Cup - Wheel Cylinder, Tag/Pusher Axle",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-078,,013,014,"Bracket - Camshaft, Right",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-079,,013,014,"Bracket - Camshaft, Left",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-080,,013,014,Retainer - Camshaft Tag/Pusher Axle,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-081,,013,014,Repair Kit - Brake Shoe Return Tag/Pusher Axle,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
010-011-001,,010,011,Brakes,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-082,,013,014,"Benair Kit - Hold-Down Guide Bolt, Shoe",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-083,,013,014,Benair Kit - Automatic Adjuster,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-084,,013,014,Repair Kit - Adjusting Screw Assembly,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-085,,013,014,Popair Kit Mapual Adjustor,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
012-014-096,,012,014,Stud Adjustor,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
012-014-007,,012,014,Densir Kit Solf Adjuster Tag/Dusher Avle,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
013-014-007,,013,014,"Repair Kit - Sell Aujuster, Tay/Fusher Axie",VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
010-014-000,,010,014,Spider - Tag/Pusher Axle,VMRS_HB_COMPLETE_v20 page 8_pages_26-50.md
