code_9d,code_6d,system,subcode,description,source_file
032-002-018,,032,002,Retaining Ring - Starter Drive,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-019,,032,002,"End Plate W/Bushing - Starter, Drive End",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-020,,032,002,"End Plate W/Bushing - Starter, Commutator End",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-021,,032,002,"Terminal - Starter, Drive End",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-022,,032,002,Button - Starter Solenoid,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-023,,032,002,Bearing - Starter End Plate,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-024,,032,002,Busning - Starter End Plate,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-025,,032,002,Spacer - Starter Mounting,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-027,,032,002,Point - Starter Contact,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-031,,032,002,Seal - Starter Drive End,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-032,,032,002,Bearing - Starter Drive,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-033,,032,002,"Bushing - Insulating, Starter",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-034,,032,002,Plate - Starter Inspection,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-035,,032,002,Gasket - Starter Inspection Plate,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-036,,032,002,Bushing - Starter Drive End,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-037,,032,002,Plunger - Starter Drive,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-038,,032,002,Boot - Plunger,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-039,,032,002,"Shaft - Lever, Starter Drive",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-040,,032,002,Wick - Drive Housing,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-041,,032,002,Gasket - Drive Housing,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-042,,032,002,O-Ring - Field Frame,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-043,,032,002,Bracket - Starter Motor,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-044,,032,002,Bracket - Battery Disconnect Switch,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-045,,032,002,Docal Switch Battery Disconnect,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-048,,032,002,Jumper - Brush Holder,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-049,,032,002,Key - Drive Shaft,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-050,,032,002,"Switch - Disconnect, Battery",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-052,,032,002,Switch - Rollover,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-053,,032,002,"Kit - Insulator, Brush Holder",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-055,,032,002,Pole Shoes - Field Coil,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-056,,032,002,Mounting Bracket - Starter Relay,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-057,,032,002,Wiring - Starter Motor,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-058,,032,002,"Roller - Clutch, Starter",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-059,,032,002,"Frame - Fleid Windings, Starter",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-000,,032,002,Sloovo Drain Startor,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-062,,032,002,"Boot - Pigtail, Frame And Field",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-063,,032,002,Control Module - Battery Disconnect,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-064,,032,002,"Ball - Compression Spring, Starter",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-065,,032,002,Frame - Starter End,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-066,,032,002,"Retainer - Pinion, Starter",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-067,,032,002,Handle - Battery Switch,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-068,,032,002,Wiring - Battery Switch,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-069,,032,002,Wiring Harness - Battery Disconnect,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-070,,032,002,"Connector - Field Terminal, Starter",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-071,,032,002,Repair Kit - Starter,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-072,,032,002,"Wiring Harness - Solenoid, Battery",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-073,,032,002,"Winng Hamess - Dattery, Shut-Oli Switch",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-074,,032,002,Wiring Harpess - Over Crank Protection Circuit,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-076,,032,002,Spacer - Switch Battery Disconnect,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-077,,032,002,Bearing - Armature Starter,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-078,,032,002,"Bushing - Armature, Starter",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-079,,032,002,"Housing - Armature, Starter",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-080,,032,002,"Plate - Housing End, Armature, Starter",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-081,,032,002,"Shunt - Armature, Starter",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-082,,032,002,Magnet - Starter,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-002-083,,032,002,Mount - Starter Motor,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-003-000,,032,003,Pre-Heater,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-003-001,,032,003,Switch - Engine Air Heater,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-003-002,,032,003,Plug - Engine Air Heater,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-003-003,,032,003,"iank - Supply, Engine Alf Heater",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-003-004,,032,003,Rail - Glow Plug Base,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
032-003-006,,032,003,Wiring Harness - Glow Plug,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
,003-007,003,007,Switch - Glow Plug & Starter,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
,003-008,003,008,Adapter - Glow Plug,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
,003-009,003,009,Pre-Heater Assembly,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
,003-010,003,010,Solenoid - Glow Plug,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
,003-011,003,011,Cover - Glow Plug,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
,003-012,003,012,"Hardware, Mounting - Engine Air Heater Switch",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
,003-013,003,013,Pre-Heater - Grid Type,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
,003-014,003,014,"Wiring Harness - Pre-Heater, Grid Type",VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
,003-015,003,015,Relay - Engine Air Heater,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
,003-016,003,016,Control Module - Pre-Heater,VMRS_HB_COMPLETE_v20 page 8_pages_76-100.md
