code_9d,code_6d,system,subcode,description,source_file
082-009-026,,082,009,Check Valve - Receiver Tank,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
034-004-157,,034,004,"Circuit Board - Load Center, Trailer",VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
065-016-022,,065,016,"Check Valve - Reciprocating Pump, Hydraulic",VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
082-012-044,,082,012,Circuit Board - Mounting Hardware,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
072-009-013,,072,009,Circuit Board - Power Roll-Up Door,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
082-039-024,,082,039,Check Valve - Reefer,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
056-001-155,,056,001,Circuit Board - PTO,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
045-012-042,,045,012,Check Valve - Secondary Oil Filtration,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
267-005-012,,267,005,Circuit Board - Selector,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
071-033-014,,071,033,"Check Valve - Tarp System, Walking Floor",VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
027-033-028,,027,033,Circuit Board - Shift Selector,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
027-003-027,,027,003,Check Valve - Transmission Retarder,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
036-008-023,,036,008,Circuit Board - Surveillance System,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
082-002-077,,082,002,Check Valve - Unloader Head,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
034-002-084,,034,002,Circuit Board - Tail Lamp,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
043-007-236,,043,007,Check Valve - Urea Pump Inlet. One-Wav,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
052-007-025,,052,007,Circuit Board - Television,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
044-016-004,,044,016,"Check Valve - Vacuum Reservoir, Emission",VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
267-005-013,,267,005,Circuit Board - Upper Control,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
001-001-186,,001,001,Circuit Board & Amplifier Assembly,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
043-001-174,,043,001,"Check Valve - Vacuum, Early Fuel Evaporator",VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
174-024-011,,174,024,Circuit Board #1 - Bus Electrical Control,VMRS_HB_COMPLETE_v20 page 5_pages_51-75.md
