code_9d,code_6d,system,subcode,description,source_file
,004-220,004,220,Frame - Hood,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-221,004,221,Bracket - Hood Spring,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-222,004,222,"Bracket - Isolator, Hood Support",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-223,004,223,"Bracket - Damper, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-224,004,224,"Backing Plate - End Tie, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-225,004,225,Collar - Hood,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-226,004,226,Trim - Hood,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-227,004,227,Panel - Headlamp Mounting,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-228,004,228,Reinforcement - Headlamp Panel,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-229,004,229,"Cover - Hinge, Access Door",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-230,004,230,"Block - Bearing, Torsion Bar",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-231,004,231,"Strip - Protective, Cowl",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-232,004,232,Mounting Bracket - Hood Bezel,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-233,004,233,"Bezel - Hood, Side",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-234,004,234,Strut - Hood Tilt Assist,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-235,004,235,"Shroud - HVAC, Top",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-236,004,236,"Shroud - HVAC, Side",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-237,004,237,"Screen - Scoop, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-238,004,238,Repair Kit - Hood,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-239,004,239,"Spacer - Torsion Bar, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-240,004,240,"Mounting Plate - Torsion Bar, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-241,004,241,"Spacer - Latch, Access Door, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-242,004,242,"Bracket - Grille, Intake, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-243,004,243,"Backing Plate - Intake Grille, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-244,004,244,"Bezel - Complete, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-245,004,245,Spring - Pivot Hood,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-246,004,246,Snow Door - Hood,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-247,004,247,"Mechanism - Snow Door, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-248,004,248,"Housing - Snow Door, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-249,004,249,"Frame - Snow Door, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-250,004,250,"Flap - Snow Door, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-251,004,251,"Linkage - Snow Door, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-252,004,252,"Cylinder - Air, Snow Door, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-253,004,253,Hinge - Pivot Hood,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-254,004,254,Plate - Isolator Front Hood Mount,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-255,004,255,"Panel - Antiglare, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
002-004-256,,002,004,"Support - Pivot Bracket, Right, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-257,004,257,"Support - Pivot Bracket, Left, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-258,004,258,"Bracket - Pivot, Right, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-259,004,259,"Bracket - Pivot, Left, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
002-004-260,,002,004,Rod End - Hood Pivot Hinge Bracket,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
002-004-261,,002,004,Bracket - Hood Pivot Hinge,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-262,004,262,"Skin - Hood, Top",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-263,004,263,"Skin - Hood, Right",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-264,004,264,"Skin - Hood, Left",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
002-004-265,,002,004,"Brace - Hood, Pivot",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-266,004,266,J-Hook - Hood Pivot,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-267,004,267,"Cover - Hood Latch, Left",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-268,004,268,"Cover - Hood Latch, Right",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-269,004,269,Reinforcement - Hood Latch,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-270,004,270,"Reinforcement - Hood, Grille",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-271,004,271,Gasket - Air Scoop,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-272,004,272,"Gasket - Emblem, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-273,004,273,"Plate - Striker, Hood Lock",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-274,004,274,"Gasket - Molding, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-275,004,275,"Gasket - Ornament, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-276,004,276,"Bushing - Rod, Hood Support",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-277,004,277,"Hold-Down - Rod, Hood Support",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-278,004,278,"Holder - Strut, Hood Support",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-279,004,279,Weatherstrip - Hood,VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
,004-280,004,280,"Support - Latch, Hood",VMRS_HB_COMPLETE_v20 page 7_pages_76-100.md
