code_9d,code_6d,system,subcode,description,source_file
082-011-014,,082,011,"Tube - Elbow Inlet, Accumulator | 082-012-038",VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-015,,082,011,"Tube - Elbow Outlet, Accumulator | 082-012-039",VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-016,,082,011,Tube - Bulkhead To Heat Exchanger | 082-012-040,VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-017,,082,011,Tube - Bypass Check Valve To Derrost Tube | 082-012-041,VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-018,,082,011,Tube - Check valve To Receiver Tank | 082-012-042,VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-019,,082,011,Tube - Condenser To Check Valve | 082-012-043,VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-020,,082,011,Tube - Discharge Three-Way To Condenser | 082-012-044,VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-022,,082,011,"Tube - Discharge, Service Valve To Vibrasorber | 082-012-046",VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-023,,082,011,"Tube - Discharge, Vibrasorber To Three-Way | 082-012-047",VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-012-048,,082,012,Valve,VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-024,,082,011,"Tube - Equalizer, Expansion Valve | 082-012-049",VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-025,,082,011,Tube - Heat Exchanger To Expansion Valve | 082-012-050,VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-026,,082,011,"Tube - Hot Gas, Drain Pan | 082-012-051",VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
082-011-027,,082,011,"Tube - Hot Gas, Drain Pan To Dist | 082-012-052",VMRS_HB_COMPLETE_v20 page 9_pages_76-100.md
