code_9d,code_6d,system,subcode,description,source_file
055-013-006,,055,013,Pipe Back - Counterweight,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
026-011-211,,026,011,"Piston - Modulator, Speed Control Valve",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
042-004-151,,042,004,Dine Section Turbacharger Exhaust Line,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
065-011-001,,065,011,Diston Motor Assembly,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
043-004-151,,043,004,Pipe Section - Turbocharger Exhaust Line,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
005-011-001,,005,011,Piston - Motor Assembly,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
045-021-039,,045,021,Pipe to ECM,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
045-012-029,,045,012,Piston - Oil Cooler,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
045-021-038,,045,021,Pipe to Fuel Filter - ECM,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
025-001-082,,025,001,"Piston - Output Shaft Clutch, Transfer Case",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
041-004-022,,041,004,"Pipe, Cold Side - Charge Air Cooler",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
365-007-045,,365,007,Piston - Paint Pump,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
041-004-023,,041,004,"Pipe, Hot Side - Charge Air Cooler",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
065-024-009,,065,024,"Piston - Pilot Valve, Hvdraulic System",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
101-002-000,,101,002,Dining,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
065-011-014,,065,011,"Piston - Piston Motor, Hydraulic System",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
191-002-000,,191,002,Dining Accomply Diumbing Auxilian(11)(AC,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
000-011-014,,000,011,"Piston - Piston Wold, Tydraulic System",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
001-004-095,,001,004,"Piping Assembly - Plumbing, Auxiliary HVAC,",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
027-013-033,,027,013,"Piston - Planetary Carrier Clutch, Automatic",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
197-018-000,,197,018,Piping - Chain Conveyor,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
044-005-020,,044,005,Piston - Power,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
001-004-017,,001,004,"Piping - Refrigerant, Sleeper",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
065-016-025,,065,016,Piston - Pump,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
174-027-019,,174,027,"Pining - Water, Bus Entrance Sten Heater",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
053-006-033,,053,006,"Piston - Pump, Jack",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
174-026-010,,174,026,"Diping Water, Bus Descender Heater",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
015-002-092,,015,002,Piston Back Steering Coor,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
174-020-019,,174,020,"Fipilig - Walei, bus Fassenger Healer",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
010-000-000,,010,000,"FISION - HACK, Steening Clean",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
001-004-009,,001,004,"Piping - water, Sleeper",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
029-008-021,,029,008,Piston - Range,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
043-007-153,,043,007,Piping Assembly - Coolant Line,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
019-002-026,,019,002,Piston - Recycle,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
013-007-053,,013,007,"Piping Assembly - Hydraulic ABS, Chassis",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
059-026-004,,059,026,Piston - Relief Valve,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
045-014-020,,045,014,Piping/Connections - Crankcase Vent,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
065-027-010,,065,027,"Piston - Relief Valve, Hydraulic System",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
065-007-015,,065,007,Pining/Plumbing - Hard Lines Hydraulic,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
027-021-002,,027,021,Piston - Beverse Servo,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
010-006-007,,010,006,Diston,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
012-010-004,,012,010,Diston Convo Air,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
018-006-027,,018,006,Piston,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
013-010-024,,013,010,Piston - Servo Air,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
065-004-016,,065,004,Piston - (Plunger),VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
025-001-026,,025,001,"Piston - Shift Cylinder, Transfer Case",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
027-021-004,,027,021,Piston - Accumulator,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
022-005-048,,022,005,"Piston - Shift Unit, Rear Axle",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
065-002-008,,065,002,"Piston - Accumulator, Hydraulic System",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
055-007-028,,055,007,Piston - Side Shift Cylinder,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
025-003-007,,025,003,Piston - Accumulator Transfer Case,VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
043-005-020,,043,005,"Piston - Slave, Exhaust Brake",VMRS_HB_COMPLETE_v20 page 6_pages_76-100.md
