code_9d,code_6d,system,subcode,description,source_file
002-050-192,,002,050,Webbing - Closet,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-274,,002,050,Bulkhead - Left,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-193,,002,050,Trim Strip - Sleeper,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-275,,002,050,Bulkhead - Right,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-194,,002,050,Snap Cap,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-276,,002,050,"Hardware, Mounting - Center Bulkhead",VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-196,,002,050,Curtain - Luggage,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-199,,002,050,Stud Strip,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-277,,002,050,Drawer Assembly,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-202,,002,050,Curtain - Closet,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-278,,002,050,Drawer - Under Bunk,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-203,,002,050,Curtain - Window,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-279,,002,050,Hardware - Drawer Slide Set,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-204,,002,050,Cable - Bunk Latch,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-280,,002,050,Front - Drawer,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-205,,002,050,Support - Closet Cover,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-281,,002,050,Face - Drawer,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-206,,002,050,Standard - Roof,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-282,,002,050,Latch - Drawer,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-207,,002,050,Standup- Roof,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-283,,002,050,Bulkhead Assembly - Interior,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
002-050-208,,002,050,Skylight,VMRS_HB_COMPLETE_v20 page 8_pages_1-25.md
