code_9d,code_6d,system,subcode,description,source_file
151-002-030,,151,002,"Hose - Heater Exhaust, APU",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
065-003-023,,065,003,Hose - Cooling,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
001-003-047,,001,003,"Hose - Heater to Check Valve, Auxiliary Heater",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
048-001-020,,048,001,"Hose - Cooling, Power Train, Hybrid",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
142-009-003,,142,009,"Hose - Heater, LNG",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-013-006,,094,013,Hose - Corrosive Chemical Liquid Product,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
049-004-002,,049,004,"Hose - High Pressure, Accumulator, Hydraulic",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
154-001-005,,154,001,Hose - CPAP,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
041-003-014,,041,003,Hose - Crossover (Turbocharger To IntakeManifold),VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
049-001-016,,049,001,"Hose - High Pressure, Junction Block, HydraulicHybrid",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-001-005,,094,001,"Hose - Crossover, Abrasive Dry ProductHose - Crossover, Chemical Liquid Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
049-001-018,,049,001,"Hose - High Pressure, Pilot Pump, HydraulicHybrid",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-001-010,,094,001,"Hose - Crossover, Corrosive Chemical Liquid",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-006-022,,094,006,Hose - Hose Reel,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
365-007-014,,365,007,Hose - Hot Water Pump,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-001-012,,094,001,"Hose - Crossover, Flammable Gas Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
043-007-081,,043,007,"Hose - Hot Water Return, Tank Heater to Engine",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-001-006,,094,001,"Hose - Crossover, Non-Abrasive Dry Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
043-007-078,,043,007,"Hose - Hot Water Supply, Pump to Tank Heater",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-001-013,,094,001,"Hose - Crossover, Nonflammable Gas Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
043-007-075,,043,007,"Hose - Hot Water Supply, Engine to Pump",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-001-008,,094,001,"Hose - Crossover, Petroleum Liquid Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
053-008-027,,053,008,Hose - Hydraulic,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-001-007,,094,001,"Hose - Crossover, Sanitary Dry Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
055-004-023,,055,004,"Hose - Hydraulic Pump, Pressure",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-001-011,,094,001,"Hose - Crossover, Sanitary Liquid Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
059-032-029,,059,032,"Hose - Hydraulic System, Vehicle Coupling",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-001-014,,094,001,"Hose - Crossover, Cryogenic Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
000-015-005,,000,015,System,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
044-011-025,,044,011,Hose - Cruise Control,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
026-015-035,,026,015,"Hose - Hydraulic, High Pressure, Automation",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
042-002-148,,042,002,Hose - Cryogenic Product,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
026-015-034,,026,015,Controls,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
042-002-140,,042,002,"Hose - Deseration, Radiator",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
020-015-034,,020,015,Controls,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
043-001-136,,043,001,Hose - Delta P Sensor,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
013-007-007,,013,007,Hose - Hydraulic Front Brake,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
082-011-008,,082,011,Hose - Discharge Compressor,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
042-003-096,,042,003,"Hose - Hydraulic, Hydraulic Fan Cooler",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
082-031-006,,082,031,Hose - Discharge Compressor,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
055-010-022,,055,010,"Hose - Hydraulic, Lift System",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
045-009-047,,045,009,Hose - Drain,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
068-003-009,,068,003,"Hose - Hydraulic, Lifting/Unloading System",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
082-007-016,,082,007,Hose - Drain Pan,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
056-001-099,,056,001,"Hose - Hydraulic, PTO",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
082-008-021,,082,008,"Hose - Drain Pan, Condenser",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
013-007-012,,013,007,"Hose - Hydraulic, Rear Brake",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
082-001-014,,082,001,"Hose - Drain Pan, Evaporator",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
267-003-008,,267,003,"Hose - Hydraulic, Turret",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
041-004-009,,041,004,"Hose - Drain Tube Connection, Charge Air",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
044-014-005,,044,014,Hose - Injection Control Pressure Sensor,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
082-008-075,,082,008,Hose - Inlet,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
174-028-042,,174,028,"Hose - Drain, Bus Body A/C System",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
048-001-099,,048,001,"Hose - Inlet, Cooling System, Inverter, Hybrid",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
061-012-002,,061,012,"Hose - Drain, Recovery Tank",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
017-009-010,,017,009,Hose - Inside Tire,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
002-060-036,,002,060,"Hose - Drain, Stowage Compartment,",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
041-002-012,,041,002,Hose - Intake Manifold,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
002-006-100,,002,006,Conventible Top,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
041-004-010,,041,004,"Hose Intake, All Cleanel, APU",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
002-000-109,,002,000,Hose - Dual Air Door Lock,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
022-005-038,,022,005,Hose - Inter Ayle Differential Lock,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
043-001-107,,043,001,Hose - EGB Coolant Diverter,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
044-001-020,,044,001,Hose - Interconnecting Fuel Tank To Tank,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
082-040-006,,082,040,Hose - EGR Cooler to Engine Reefer,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-008-005,,094,008,Hose - Jumper Air Supply,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
053-008-012,,053,008,Hose - Elbow,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
044-003-018,,044,003,Hose - Leak-Off. Fuel Nozzle,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
043-001-045,,043,001,Hose - Emission Control,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-002-004,,094,002,"Hose - Loading, Abrasive Dry Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
026-011-151,,026,011,Hose - End Plate,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-002-008,,094,002,"Hose - Loading, Chemical Liquid Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
001-001-147,,001,001,"Hose - Evaporator To Compressor, HVAC",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-002-009,,094,002,"Hose - Loading, Corrosive Chemical Liquid",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
082-001-015,,082,001,"Hose - Evaporator To Compressor, Mechanical",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-002-011,,094,002,"Hose - Loading, Flammable Gas Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
010-000-000,,010,000,Refrigeration Unit,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-002-005,,094,002,"Hose - Loading, Nonabrasive Dry Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
013-008-020,,013,008,Hose - Exhaust Deefer,VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-002-012,,094,002,"Hose - Loading, Nonliammable Gas Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
002-040-013,,002,040,"Hose - Exhausi, ReeleiHose - Exhausion Tank, Charge Air Cooler",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
094-002-007,,094,002,"Hose - Loading, Petroleum Liquid Product",VMRS_HB_COMPLETE_v20 page 6_pages_26-50.md
