code_9d,code_6d,system,subcode,description,source_file
014-004-060,,014,004,"Bolt - Mounting, Sleeper",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
016-019-008,,016,019,"Bolt Kit - Restraint, Locking Device",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
082-039-038,,082,039,"Bolt - Mounting, Solenoid Throttling, Reefer",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
016-014-020,,016,014,Bolt Kit - Steering Axle,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
032-004-031,,032,004,"Bolt - Mounting, Starter",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
045-008-250,,045,008,Bolt Set - Valve Cover,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
016-020-009,,016,020,"Bolt - Mounting, Strut, Lower",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
002-011-026,,002,011,Bolt-Eye,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
043-004-110,,043,004,"Bolt - Mounting, Turbocharger",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
013-002-078,,013,002,"Bolt, Slack Adjuster Pressure Relief - Rear",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
045-002-057,,045,002,,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
027-024-022,,027,024,"Bolt - Oil Channel Support To Case, Pressure",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
016-005-040,,016,005,Bolt/Pin - Equalizer Bushing,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
094-010-017,,094,010,Bolting Clip - Tee Fitting,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
045-013-020,,045,013,Bolt - Oli Pan,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
002-018-055,,002,018,Bolling Strip - Cab Or Front Door,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
027-029-010,,027,029,Bolt - Oli Pullip To Case,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
042-002-054,,042,002,Bolting Strip Slooper Exit Deer,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
041-001-027,,041,001,"Bolt - Pan, All CleanerBolt - Pin Bonded Bushing Air Spring Bear",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
002-000-410,,002,000,Bolts - Bearing Betainer Auviliary Drive Gear,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
016-002-080,,016,002,"Bolt - Pin, Bonded Bushing, All Ophing, Hear",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
026-001-068,,026,001,Bolts - Clutch Housing to Engine,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
022-003-078,,022,003,Bolt - Pinion Bearing Cage,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
026-001-065,,026,001,Bolts - Clutch Housing to Transmission,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
043-004-152,,043,004,"Bolt - Pipe Section at Exhaust Line,",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
059-001-153,,059,001,"Bolts - Cushion Ring, Fifth Wheel",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
026-013-007,,026,013,Bolts - Drive Collar,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
068-006-017,,068,006,"Bolt - Pivot Shaft, Lift Truck",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
016-008-124,,016,008,"Bolts - Mounting, Air Spring, Rear Suspension",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
068-004-026,,068,004,"Bolt - Pivot Shaft, Unloader",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
077-004-006,,077,004,"Bolts - Mounting, Cross Member",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
053-007-091,,053,007,Bolt - Plow,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
026-011-126,,026,011,"Bolts - Mounting, PTO Cover",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
016-005-054,,016,005,Bolt - Radius Rod,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
082-029-066,,082,029,"Boltstrip - Hinge, Reefer",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
029-008-029,,029,008,Bolt - Range Cylinder Yoke,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
098-014-005,,098,014,Bonnet,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
013-004-006,,013,004,"Bolt - Release, Spring Parking Brake",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
091-003-040,,091,003,Bonnet - Air Intake,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
002-011-070,,002,011,"Bolt - Restraint, Seat Belt",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
098-009-017,,098,009,Bonnet & Yoke,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
029-006-014,,029,006,"Bolt - Retainer, Auxiliary Drive Gear",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
464-001-000,,464,001,Boom Chain Conveyer System,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
040-000-107,,040,000,Bolt - Retaining Clamp,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
197-009-000,,197,009,Boom Intercom Headest,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
013-010-155,,013,010,Bolt - Ring Clamp (Band),VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
068-001-000,,068,001,Boom - Lifting/Linloading System,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
021-001-004,,021,001,"Bolt - Ring Gear, Driven Front Steer Ayle",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
462-003-000,,462,003,Boom - Lower,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
045-008-123,,045,008,Bolt - Rocker Arm Cover,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
168-006-001,,168,006,"Boom - Main Assembly, Mower",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
045-008-132,,045,008,Bolt - Rocker Arm Shaft Bracket,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
168-006-008,,168,006,"Boom - Section, Mower",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
082-041-003,,082,041,"Bolt - Rocker Arm Shaft, Reefer",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
462-004-000,,462,004,Boom - Upper,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
045-008-134,,045,008,Bolt - Rocker Housing,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
462-008-000,,462,008,Boom Articulating Arm,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
016-005-189,,016,005,"Bolt - Rocker, Rear Suspension",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
197-009-001,,197,009,Boom Assembly - Complete,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
031-001-068,,031,001,"Bolt - Rod, Adjustment, Alternator",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
068-001-001,,068,001,"Boom Assembly - Complete, Lifting/Unloading",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
151-001-197,,151,001,"Bolt - Rod, Adjustment, Alternator",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
267-001-001,,267,001,Boom Assembly - Drilling and Boring Equipment,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
016-020-025,,016,020,"Bolt - Rod, Strut",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
462-003-001,,462,003,"Boom Assembly - Lower, Fiberglass",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
010-000-070,,010,000,"Bolt - Snackie, Rear Spring",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
305-008-000,,305,008,Boom Assembly - Painting & Spraying,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
029-008-030,,029,008,"Bolt - Solehold Valve, Turbocompound",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
462-004-001,,462,004,Boom Assembly - FavingBoom Assembly - Upper Fiberalass,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
016-005-082,,016,005,Bolt - Spring Anchor,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
173-002-000,,173,002,Boom Assembly Components - Tilt Body,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
013-013-053,,013,013,"Bolt - Spring Brake Chamber, Air Disc Brake",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
267-001-002,,267,001,Boom Base,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
015-003-055,,015,003,Bolt - Steering Shaft,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
462-005-000,,462,005,Boom Stow,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
015-001-026,,015,001,Bolt - Steering Wheel,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
462-005-003,,462,005,Boom Stow - Lower,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
024-002-064,,024,002,"Bolt - Strap, Yoke",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
462-005-001,,462,005,Boom Stow - Upper,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
044-003-193,,044,003,Bolt - Tach Drive,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
267-001-000,,267,001,Boom Structure - Drilling and Boring,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
044-005-054,,044,005,Bolt - TBI (Throttle Body Injection),VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
168-006-000,,168,006,Boom Structure - Mowing,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
048-001-062,,048,001,"Bolt - Tensioner, Hybrid",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
268-009-000,,268,009,Boom Structure - Pulling,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
015-002-037,,015,002,Bolt - Timing Bolt Tonsioner,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
043-004-008,,043,004,"Boost Control - Dump Gate, Turbocharger",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
045-008-235,,045,008,Bolt - Timing Gear Camshaft,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
013-010-507,,013,010,Booster - Air Brake,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
059-004-009,,059,004,"Bolt - Tongue, Drawbar",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
077-003-061,,077,003,"Booster - Auto, Powered Landing Gear",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
016-005-055,,016,005,Bolt - Torque Rod,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
013-006-026,,013,006,Booster - Master Cylinder,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
059-008-005,,059,008,Bolt - Tow Ring,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
001-004-107,,001,004,"Booster Assembly - Blower Motor Fan, Sleeper",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
043-004-145,,043,004,"Bolt - Transmission, Turbocompound",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
171-008-000,,171,008,Booster Axle,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
024-002-028,,024,002,Bolt - Universal Joint To Drive Shaft,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
171-008-001,,171,008,Booster Axle Assembly,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
043-004-023,,043,004,Bolt - V-Clamp,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
023-004-005,,023,004,"Booster- Actuation, Hydraulic",VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
027-024-020,,027,024,Bolt - Valve Body To Case,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
013-009-085,,013,009,Boot - Air Drier,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
042-004-045,,042,004,Bolt - Water PumpBolt - Wear Dad,VMRS_HB_COMPLETE_v20 page 5_pages_26-50.md
