code_9d,code_6d,system,subcode,description,source_file
001-007-001,,001,007,Notor and Drive Assembly - Scrub Brush,VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
001-011-000,,001,011,Piloti Squeegee System - Scrubber,VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
001-007-002,,001,007,"Bracket - Motor Mount, Scrub Brush",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-007-003,,061,007,"Pulley - Molor, Scrub Brush",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
001-011-002,,001,011,"Strap - Inner, Squeegee",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-007-004,,061,007,"Bell - Drive, Scrub Brush",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-011-003,,061,011,"Blade - Inner, Squeegee",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
001-007-005,,001,007,"Sneave - Drive, Scrub Brush",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-011-004,,061,011,Holder Assembly - Blades (Squeegees),VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-007-006,,061,007,U-Joint Assembly - Scrub Brush,VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
001-011-005,,001,011,"Blade - Flexible, Gum Rubber, Outer",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-007-007,,061,007,"Flex Disc - U-Joint, Scrub Brush",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-011-006,,061,011,"Blade - Rigid, Uretnane, Outer",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-007-008,,061,007,"Gear Case - Drive, Right, Scrub Brush",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-011-007,,061,011,"Blade - Back-Up, Number 1, Outer",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-007-009,,061,007,"Gear Case - Drive, Left, Scrub Brush",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-011-008,,061,011,"Blade - Back-Op, Number 2, Outer",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-007-010,,061,007,"Shaft - Drive, Brush Case, Scrub Brush",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
061-011-009,,061,011,"Strap - Outer, Squeegee",VMRS_HB_COMPLETE_v20 page 9_pages_51-75.md
