code_9d,code_6d,system,subcode,description,source_file
,000-999,000,999,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-149,000,149,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-199,000,199,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-249,000,249,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-299,000,299,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-349,000,349,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-399,000,399,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-449,000,449,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-499,000,499,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-549,000,549,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-599,000,599,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-649,000,649,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-699,000,699,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-749,000,749,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-799,000,799,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-849,000,849,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-899,000,899,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,000-949,000,949,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,100-124,100,124,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,125-149,125,149,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,150-174,150,174,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,175-199,175,199,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,200-224,200,224,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
,225-249,225,249,,VMRS_HB_COMPLETE_v20 page 4_pages_26-50.md
