code_9d,code_6d,system,subcode,description,source_file
,260-001,260,001,,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,000-001,000,001,Dium Assembly,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,368-002,368,002,Pump Connection,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,369-000,369,000,Crushing,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,369-001,369,001,Crusher Assembly,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,369-002,369,002,Jaws - Crusher,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,369-003,369,003,Roller - Crusher,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,369-004,369,004,Hydraulics - Crusher,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,369-005,369,005,Fabricated Structure,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,369-006,369,006,Guards - External Protection,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,461-000,461,000,Arrow Board,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,461-001,461,001,Arrow Board Assembly,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-000,462,000,Insulating Lift Equipment,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-001,462,001,Unit Elevator,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-002,462,002,Hydraulic System,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-003,462,003,Boom - Upper,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,402-004,402,004,Boom Stow,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,402-005,402,005,Booth Stow,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,402-006,402,006,Leveling System,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-007,462,007,,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-800,462,800,Boom Articulating Arm,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-009,462,009,Personnel Platform,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-010,462,010,Personnel Platform Elevator,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-011,462,011,Lower Boom Leveling System,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-012,462,012,Material Handling Jib,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-013,462,013,High Articulation Jib,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-014,462,014,Removable Material Handling Jib,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-015,462,015,Grounding System,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-016,462,016,Telematics,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-017,462,017,"Modules, Relays, Electrical",VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,462-018,462,018,Outrigger,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,463-000,463,000,Insulating Drilling and Boring,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,463-001,463,001,Digger Derrick,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,464-000,464,000,Digging,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,464-001,464,001,Boom,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,464-002,464,002,Stick,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,464-003,464,003,Arm Assembly,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,464-004,464,004,Coupler,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,464-005,464,005,Swing Gear,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,464-006,464,006,Controls,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,464-007,464,007,Knuckle,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,464-008,464,008,Bucket Linkage,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,465-000,465,000,Compacting,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,465-001,465,001,Plate Packer,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,070-000,070,000,Bodies & Vessels Group,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
,071-000,071,000,Body,VMRS_HB_COMPLETE_v20 page 5_pages_1-25.md
