code_9d,code_6d,system,subcode,description,source_file
027-006-034,,027,006,"Gear - Clutch Output, Forward Transmission | 025-001-010 | Gear - Input Shaft, Transfer Case",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
029-004-004,,029,004,"Gear - Clutch Range | 092-002-036 | Gear - Input, 1st Stage (Single Stage)",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
028-004-022,,028,004,"Gear - Clutch, Main Shaft | 092-002-037 | Gear - Input, 2nd Stage",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
026-006-032,,026,006,"Gear - Clutch, 2nd & 3rd Speed | 027-002-018 | Gear - Input, Power Take-Off",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
028-004-014,,028,004,"Gear - Clutch, First & Second | 027-013-006 | Gear - Input, Sun",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
025-001-182,,025,001,"Gear - Clutch, Transfer Case | 058-005-023 | Gear - Intermediate",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-004-141,,022,004,"Gear - Countershaft | 029-005-025 | Gear - Intermediate / Low, Main Shaft",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
026-002-050,,026,002,"Gear - Countershaft, Manual Transmission | 025-001-183 | Gear - Intermediate Clutch, Transfer Case",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
026-002-025,,026,002,"Gear - Countershaft, Power Take-Off | 025-001-014 | Gear - Intermediate Shatt, Transfer Case",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
045-003-055,,045,003,"Gear - Crankshaft ADU | 092-002-035 | Gear - Intermediate, Input Shatt",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
101-001-120,,101,001,"Gear Direct & Overdrive Clutch | 027-019-004 | Gear - Internal, Rear",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
020-004-013,,020,004,"Gear Direct Counterchaft | 027-015-002 | Goar Low Range, Front Internal",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
020-003-008,,020,003,Gear - Disc Drive | 027-013-010 | Gear - Low Sup,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
097-002-022,,097,002,Gear - Drive | 028-004-015 | Gear - Low Main Shaft Auxiliary Transmission,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
021-001-034,,021,001,"Gear - Drive Pinion, Primary, Driven Front Steer | 026-002-038 | Gear - Low, Front Countershaft",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
021-001-004,,021,001,Axle | 026-006-080 | Gear - Low Main Shaft Manual Transmission,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-003-089,,022,003,Gear - Drive Pinion Primary Rear Driven Axle | 025-001-203 | Gear - Low Output Shaft Transfer Case,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
013-009-024,,013,009,"Gear - Drive, Air Compressor | 058-005-022 | Gear - Main",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
061-007-011,,061,007,"Gear - Drive, Brush Case, Scrub Brush | 028-003-002 | Gear - Main Drive, Auxiliary Transmission",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
197-014-005,,197,014,"Gear - Drive, Chain Conveyor | 026-005-002 | Gear - Main Drive, Manual Transmission",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
082-004-040,,082,004,"Gear - Drive, Compressor | 065-010-001 | Gear - Motor Assembly",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
026-002-017,,026,002,"Gear - Drive, Countershaft | 034-001-182 | Gear - Motor, Headlamp Door",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-002-045,,027,002,"Gear - Drive, Front Pump | 002-018-195 | Gear - Motor, Window Regulator",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
045-008-024,,045,008,"Gear - Drive, Fuel Injection Pump | 082-004-028 | Gear - Oil Pump",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-004-014,,022,004,"Gear - Drive, Helical | 001-001-017 | Gear - Oil Pump, Compressor, HVAC",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
045-009-007,,045,009,"Gear - Drive, Oil Pump | 082-002-021 | Gear - Oil Pump, Compressor, Mechanical",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-004-090,,022,004,"Gear - Drive, Pump | | Refrigeration Unit",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-030-005,,027,030,"Gear - Drive, Rear Pump | 022-004-078 | Gear - Output Shaft",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-003-018,,022,003,"Gear - Drive, Secondary | 026-006-119 | Gear - Output Shaft, Manual Transmission",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
003-002-005,,003,002,"Gear - Drive, Speedometer | 027-035-001 | Gear - Output Transfer",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
002-006-118,,002,006,"Gear - Drive, Sunroof | 015-011-018 | Gear - Output, Column",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
044-003-195,,044,003,"Gear - Drive, Tachometer | 026-008-004 | Gear - Output, Low-Range Countershaft",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
061-007-012,,061,007,"Gear - Driven, Brush Case, Scrub Brush | 056-003-024 | Gear - Output, Reduction",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
020-002-018,,020,002,"Gear - Driven, Countersnall | 027-002-032 | Gear - Output, Torque Converter Gear",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
033-002-012,,033,002,"Gear Driven Front Pump | 020-002-042 | Goar Over Drive, Counter",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-029-000,,027,029,"Gear - Driven, Fuel Injection Pump | 020-000-040 | Transmission",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-034-007,,027,034,"Gear - Driven, Fuer Injection Fump | 028-005-009 | Gear - Overdrive Countershaft",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-004-015,,022,004,"Gear - Driven, Helical | 027-013-048 | Gear - Parking Automatic Transmission",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
045-009-009,,045,009,"Gear - Driven, Oil Pump | 058-005-021 | Gear - Pinion",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-004-091,,022,004,"Gear - Driven, Pump | 022-003-036 | Gear - Pinion, Differential",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-030-004,,027,030,"Gear - Driven, Rear Pump | 021-001-010 | Gear - Pinion, Differential, Driven Front Steer",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-001-037,,027,001,"Gear - Driven, Scavenge Pump | | Axle",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-003-026,,022,003,"Gear - Driven, Secondary | 021-009-006 | Gear - Pinion, Differential, Transaxle",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
044-003-120,,044,003,"Gear - Driven, Shaft Assembly | 022-004-045 | Gear - Pinion, Helical",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-031-055,,027,031,"Gear - Driven, Speedometer | 058-005-020 | Gear - Pinion, Intermediate",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
025-001-062,,025,001,"Gear - Driven, Transfer Case | 045-008-082 | Gear - Pinion, Mechanical Variable Timing",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-029-007,,027,029,"Gear - Driving, Front Pump | 015-003-093 | Gear - Pinion, Steering",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
015-011-016,,015,011,"Gear - Dual, Input, Bevel Box | 025-001-064 | Gear - Pinion, Transfer Case",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
294-001-016,,294,001,"Gear - Face Drive, Fuel Meter | 058-005-007 | Gear - Planet",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
028-004-011,,028,004,"Gear - First Speed, Main Shaft | 021-001-056 | Gear - Planet, Driven Front Steer Axle",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
026-008-003,,026,008,"Gear - Forward & Reverse, Low-Range | 026-017-003 | Gear - Planetary",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
006-000-041,,006,000,"Countershall | 016-002-041 | Clear - Planetary Hub, Portal Assembly, Rear",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
151-001-171,,151,001,Gear Fuel Injection Pump APL | 022 008 021 | Goar Dianotany Hub Dortal Assombly Doar,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-000-021,,022,000,060.004.005 | Goar Hoight Adjust | | Drive Ayle,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
068-001-045,,068,001,Gear - Helical Splicer Platform | 025-001-228 | Gear - Planetary Transfer Case,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
025-001-040,,025,001,Gear - High Output Shaft Transfer Case | 027-005-003 | Gear - Power Take-Off,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-002-031,,027,002,Gear - Idle Torque Converter Gear Automatic | 027-012-014 | Gear - PTO,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-002-001,,027,002,Transmission | 056-001-030 | Gear - PTO Drive,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
045-008-014,,045,008,"Gear - Idler, Engine Camshaft | 027-006-025 | Gear - PTO Automatic Transmission",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
077-003-024,,077,003,"Gear - Idler, Mechanical Leg. Trailer Support | 044-003-059 | Gear - Pump",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
045-009-044,,045,009,"Gear - Idler, Oil Pump | 015-013-021 | Gear - Rack, Rack & Pinion",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
056-001-004,,056,001,"Gear - Idler, PTO | 003-002-027 | Gear - Ratio Drive Adapter",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-004-092,,022,004,"Gear - Idler, Pump Driven | 027-002-027 | Gear - Reduction, Converter Transfer",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
097-002-025,,097,002,"Gear - Idler, Pump, Bulk Product Transfer | 029-004-014 | Gear - Reduction, Synchronizer",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
025-001-063,,025,001,"Gear - Idler, Transfer Case | 026-006-016 | Gear - Reverse",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
018-006-013,,018,006,Gear - Inner Drive | 026-002-001 | Gear - Reverse Idler,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
058-005-019,,058,005,"Gear - Input | 026-006-017 | Gear - Reverse Idler, Front",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
097-001-034,,097,001,"Gear - Input | 026-006-018 | Gear - Reverse Idler, Rear",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-018-003,,027,018,Gear - Reverse Sun | 045-008-183 | Gear Set - Timing Gear,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
026-002-024,,026,002,"Gear - Reverse, Countershaft | 168-001-046 | Gear Shaft Set - Motor, Mower",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
058-005-009,,058,005,Gear - Ring | 078-005-008 | Gear Train - Meter Chamber,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
002-027-058,,002,027,Gear - Seat Back Adjusting | 367-010-024 | Gearbox,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
028-005-010,,028,005,"Gear - Second Speed, Countershaft | 068-001-078 | Gearbox - Azimuth, Boom",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
028-004-012,,028,004,"Gear - Second Speed, Main Shaft | 267-001-017 | Gearbox - Boom",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
026-006-092,,026,006,"Gear - Seventh | 369-005-019 | Gearbox - Drive, Fabricated Structure",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
071-030-005,,071,030,Gear - Side Compartment Roll-Up Door | 368-001-024 | Gearbox - Drum Support,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
021-001-012,,021,001,"Gear - Side, Differential, Driven Front Steer Axle | 042-003-134 | Gearbox - Fan, Mechanical Drive",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-003-048,,022,003,"Gear - Side, Differential, Driven Rear Axle | 199-004-007 | Gearbox - Fines Screen",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
021-009-012,,021,009,"Gear - Side, Differential, Transaxie | 100 001 007 | Gearbox - Leg Assembly",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-004-004,,022,004,"Gear Side, Intel-Axie | 199-001-007 | Gearbox - OCC Screen",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
021-000-012,,021,000,"Gear - Side, Output, Portal Assembly, Driven | 068-001-007 | Gearbox - Output Shaft Boom",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
022-000-012,,022,000,Rear Ayle | 199-003-007 | Gearbox - Polishing Screen,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
026-006-091,,026,006,Gear - Sixth | 068-001-059 | Gearbox - Rotation Turntable,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
026-006-023,,026,006,"Gear - Sliding, 1st & Reverse | 462-007-005 | Gearbox - Rotation, Turntable",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
056-001-020,,056,001,"Gear - Sliding, Output, PTO | 267-005-007 | Gearbox - Rotation, Turret",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
056-001-031,,056,001,"Gear - Sliding, PTO Input | 462-013-006 | Gearbox - Tilt, High Articulation Jib",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
027-031-037,,027,031,Gear - Speed Sensor | 199-005-008 | Gearbox - Trommel,VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
026-001-090,,026,001,"Gear - Speedometer, Manual Transmission | 462-013-001 | Gearbox - Winch, High Articulation Jib",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
025-001-214,,025,001,"Gear - Speedometer, Transfer Case | 462-012-001 | Gearbox - Winch, Material Handling Jib",VMRS_HB_COMPLETE_v20 page 6_pages_1-25.md
