code_9d,code_6d,system,subcode,description,source_file
363-005-004,,363,005,Frequency Sender | | Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
363-005-005,,363,005,"Joystick | 364-007-007 | Shaft - Drive, Pump",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
363-005-006,,363,005,Cover - Joystick | 364-008-000 | Boom Assembly - Paving,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
364-000-000,,364,000,Paving | 364-008-001 | Base - Boom,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
364-001-000,,364,001,Paver/Melter Assembly | 364-008-002 | Hanger - Hose Assembly Boom,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
364-001-001,,364,001,Paver/Melter Assembly -Complete | 364-009-000 | Tank Assembly - Paving,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
264-001-005,,264,001,lagmount Dever/Melter Assembly | 264 000 001 | Caracket Driven Tenk,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
304-001-003,,304,001,Isomounit - Paven/Meiler Assembly | 304-009-001,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
364-001-006,,364,001,"Cover - Control Valve, Paver/Melter Assembly | 364-009-002 | Chain - Drive, Tank",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
364-001-007,,364,001,"Filler - Air Cleaner, Paver/Melter Assembly | 364-009-003 | Chain - Connecting Link, Tank",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
364-001-009,,364,001,"Transformer - Paver/Melter Assembly | 364-009-004 | Shaft - Mixer, Tank",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
364-001-010,,364,001,"Motor - Blower, Paver/Melter Assembly | 364-009-006 | Paddle Assembly - Tank",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
364-001-012,,364,001,Bracket - Control Valve - Paver/Melter Assembly | 364-009-007 | Pump Assembly - Tank,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
364-001-013,,364,001,Boot - Switch Paver/Melter Assembly | 364-009-008 | Strainer Assembly - Tank,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
364-001-015,,364,001,Sensor - Paver/Melter Assembly | 364-009-009 | Tank - Overflow,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
264-001-016,,264,001,Cord Grin _ Payor/Moltor Accombly | 265 000 000 | Dainting & Spraving,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
