code_9d,code_6d,system,subcode,description,source_file
,000-110,000,110,,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,000-000,000,000,& Aerodynamic Devices Group,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-020,002,020,Sect Frames & Springs,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-027,002,027,Adjuster - Front Seat,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,001-000,001,000,Air Conditioning Heating & Ventilating,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-030,002,030,Interior Moldings,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,001-001,001,001,Air Conditioning Assembly - Complete,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-031,002,031,Body Moldings - Exterior,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,001-002,001,002,Heating & Ventilating,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-032,002,032,Sidewall & Miscellaneous Trim,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,001-003,001,003,Auxiliary Heating and Cooling - Self-,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-033,002,033,Sheet Metal Ornamentation,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-034,002,034,Exterior Body Ornamentation,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,001-004,001,004,Heater and A/C - Sleeper,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-035,002,035,Windshield Wiper & Washer,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,001-005,001,005,Auxiliary Fan - Defroster,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-036,002,036,Tilting Mechanism,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,001-006,001,006,Heater and A/C - Combination Unit.,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-037,002,037,Seats,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-038,002,038,Deflector - Non-Aerodynamic,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-000,002,000,Cab & Sheet Metal,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-039,002,039,Cab Guard Assembly,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-001,002,001,Radiator Grille,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-040,002,040,Cab Entry Assists,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-002,002,002,Fenders & Mud Flaps - Front Wheel,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-041,002,041,"Guard - Overhead, Operator Protection",VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-003,002,003,Running Boards,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-042,002,042,Crosswalk (Deckplate) - Frame,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-004,002,004,Hood,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-044,002,044,Cab,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-005,002,005,Cowl Panels,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-045,002,045,Insulator - Engine Noise,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-006,002,006,Roof Panel & Reinforcements,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-046,002,046,Side Door - Special Application,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-007,002,007,Center Pillar & Reinforcements,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-047,002,047,Vent Assembly,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-800,002,800,Instrument Panel,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-048,002,048,Upholstery Trim - Cab,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-009,002,009,Sun Visor,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-050,002,050,Sleeper,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-010,002,010,Mirrors,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-057,002,057,Occupant Safety Devices,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-011,002,011,Cab Accessories - Interior,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-058,002,058,Signage - Integral to Body,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-012,002,012,Floor Pan,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-059,002,059,Truck Bed,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-013,002,013,Floor Coverings,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-060,002,060,Convertible Top,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-014,002,014,Panel Deadeners,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-061,002,061,Liftgate/Hatch,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-015,002,015,Quarter & Deck Panels - Rear,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-062,002,062,Trunk,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-016,002,016,Tailgate - Rear,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-063,002,063,Back Glass Wiper and Washer,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-017,002,017,Cab Or Front Door Panels,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-064,002,064,Package Iray,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-018,002,018,Cab Or Front Door Mechanism,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-065,002,065,Headlamp Wiper and Washer,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-019,002,019,Side Door Panels & Ramps,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-066,002,066,Rear Body Panels and Reinforcements,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,003-000,003,000,"Instruments, Gauges, Warning &",VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-021,002,021,"Panel - Rear Door, Cab",VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-022,002,022,,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,003-001,003,001,Gauges & Warning Devices,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,002-023,002,023,Handles - Inner & Outer,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,003-002,003,002,Speedometer,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-000,015,000,Steering Wheel,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-000,004,000,Deflector - Wind Roof Mounted,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-001,015,001,Steering Shaft Support,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-001,004,001,Eniring - Noco,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-002,015,002,Steering Goar,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-002,004,002,Fairing - Wind Boof Mounted,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-003,015,003,Steering Linkage,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-003,004,003,Fairing - Cab Extenders,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-004,015,004,Dower Steering Pump,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-004,004,004,Fairing - Chassis,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-005,015,005,Control Valve (Torque Concretor) -,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-005,004,005,Fairing - Sleeper,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-007,015,007,Control Valve - Tie Rod Type,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-007,004,007,Fairing - Transitional,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-010,004,010,Fairing - Belly,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-010,015,010,Steering - All Steer,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-011,004,011,Spoiler - Air,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-011,015,011,Steering Assembly - Transferable,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-012,004,012,Spoiler - Body,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,010-011,010,011,(Vario Pilot),VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-013,004,013,Wheel Cover - Aerodynamic,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-012,015,012,Steering Stability System,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-014,004,014,Chassis Air Flow Management Fairing,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-013,015,013,Steering Gear - Back & Pinion Type,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-014,015,014,Hydraulic Steering System,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,004-015,004,015,Aerodynamic Splash Guard,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,015-015,015,015,Electric Lane Assist Steering,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,016-000,016,000,Suspension,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,010-000,010,000,Chassis Group,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,016-001,016,001,Independent Front Suspension,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,011-000,011,000,Axles - Front,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,016-002,016,002,Front Springs,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,011-001,011,001,"Axle - Non-Driven, Front",VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,016-003,016,003,Front Shock Absorbers,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,012-000,012,000,Axles - Rear,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
,016-004,016,004,Front Stabilizer,VMRS_HB_COMPLETE_v20 page 3_pages_26-50.md
