code_9d,code_6d,system,subcode,description,source_file
,017-020,017,020,Bushing - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-021,017,021,Hinge - School Rus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-022,017,022,Pin - School Bus Stop Arm Hinge,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-025,017,025,Base - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-026,017,026,Paddle - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-027,017,027,Stop Sign - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-028,017,028,"Bracket - Hinge Mounting, School Bus Stop Arm",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-029,017,029,Cam - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-030,017,030,Return Spring - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-031,017,031,Diaphragm - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-032,017,032,Heater - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-033,017,033,Wind Guard - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-034,017,034,Chime - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-035,017,035,"Latch - Stop Paddle, School Bus Stop ArmAssembly",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-036,017,036,Cover - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-037,017,037,"Cable - Linkage, School Bus Stop Arm Assembly",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-038,017,038,Air Compressor - School Bus Stop ArmAssembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-039,017,039,"Pulley - Cable, School Bus Stop Arm Assembly",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-041,017,041,"Stop - Bumper, School Bus Stop Arm Assembly",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,040-008,040,008,"wiring Harness - Adapter, Pedestrian Detection",VMRS_HB_COMPLETE_v20 page 10_pages_13-18.md
,507-000,507,000,Selection value vibration cystem,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-017,001,017,"Housing - Pendulum Roller Bearing, Drum",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-018,001,018,"Seal - Pendulum Roller Bearing, Drum Support",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-019,001,019,"Shaft - Pendulum Roller Bearing, Drum Support",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-020,001,020,"O-Ring, Pendulum Roller Bearing, Drum Support",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-021,001,021,Flange - Drum Support,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-022,001,022,"O-Ring - Flange, Drum Support",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-023,001,023,"Holder - Teeth, Drum Support",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-024,001,024,Gearbox - Drum Support,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-025,001,025,"Pulley - V-Belt, Drum Support",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-026,001,026,Adapter - Drum Support,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-027,001,027,Tensioner - Drum Support,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-028,001,028,Crank - Drum Support,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-029,001,029,"Covening - Floor, Anti-Silp, Drum Support",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-031,001,031,Clin - Pin Drum Support,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-032,001,032,Bing - Protective Drum Support,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-033,001,033,Kit - Sealing Drum Support,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-034,001,034,Plate - Perforated Drum Support,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,002-000,002,000,Pump Connection,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,002-001,002,001,Water Pump,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,002-002,002,002,Level - Monitoring,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,002-003,002,003,Plug - Monitoring Level,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,002-004,002,004,"Socket - Plug, Monitoring Level",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,002-005,002,005,"Connector - Hose, Water Pump",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,002-006,002,006,Solenoid Valve,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,002-007,002,007,Valve - Pressure Regulator,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,002-008,002,008,Bracket- Pressure Regulator Valve,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,000-000,000,000,Crushing,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-000,001,000,Crusher Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,002-009,002,009,"Shoe - Release, Crusher",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,002-010,002,010,Hardware - Crusher,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,003-000,003,000,Roller - Crusher,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,003-001,003,001,Roll Shell - Crusher,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,003-002,003,002,"Drum - Roller, Crusher",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,003-003,003,003,Seal Rings - Crusher,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,003-004,003,004,"Ring - Stabilizer, Crusher",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,003-005,003,005,"Shaft - Roll, Crusher",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,003-006,003,006,"Plate - Breaker, Crusher",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,004-000,004,000,Hydraulics - Crusher,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,004-001,004,001,Cylinders - Crusher,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,004-003,004,003,Power Unit - Hydraulic Crusher,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-000,005,000,Fabricated Structure,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-001,005,001,Support - Eabricated Structure,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-002,005,002,Control Panel - Fabricated Structure,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-003,005,003,"Switch - HOA, Fabricated Structure",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-004,005,004,"Housing - Frame, Fabricated Structure",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-005,005,005,"Plate - Cheek, Frame, Fabricated Structure",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-006,005,006,"Line - Cheek Plate, Frame, Fabricated Structure",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-007,005,007,"Plate - Cover, Frame, Fabricated Structure",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-008,005,008,"Pillow Block - Bearing, Motor, Fabricated",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-009,005,009,Bearings - Internal Motor Fabricated Structure,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-010,005,010,"Bearings - Gearbox, Motor, Fabricated Structure",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-011,005,011,Pump - Lubrication. Fabricated Structure,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-012,005,012,"Motor - Lubrication, Fabricated Structure",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-013,005,013,"Filter - Lubrication, Fabricated Structure",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-014,005,014,"Hoses and Piping - Lubrication, Fabricated",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,005-015,005,015,"Switch - E-Stop, Safety, Fabricated Structure",VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,000-389,000,389,,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,001-001,001,001,,VMRS_HB_COMPLETE_v20 page 10_pages_19-24.md
,022-035,022,035,Seat Back - Adult Securement Bus Seat,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,023-010,023,010,Hardware Mounting - Bus Boof Luggage Back,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-047,024,047,Lamp - Overnead Emergency Equipment,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-048,024,048,wiring Harness - Overnead Emergency,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-051,024,051,Switch - Bus Roof Emergence Escape Hatch,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,004-050,004,050,Ding Terminal Bug Wiring Harpoon,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-032,024,032,Hing Terminal - Dus Winnig Harness,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-053,024,053,Switch - Bus Wiring Harness,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-054,024,054,"Bezel - School Bus 8 Way Stop Light, Front",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,004-055,004,055,Pozol School Pue 9 Way Stop Light Dear,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-000,024,000,"Dezel - School Bus o Way Slop Light, Real",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-056,024,056,Seal - Bus Wiring Harness Electrical Connector,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-057,024,057,Lens - Bus Ceiling Lamp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-030,024,030,Sear - Dus Celling Lamp Lens,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-059,024,059,"Lamp - Exterior, Bus Emergency Door",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-060,024,060,Hardware Mounting - Bus Emergency Door,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-061,024,061,Lens - Bus Emergency Door Exterior Lamp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-062,024,062,"Hardware, Mounting - Bus Emergency Door",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-063,024,063,Wiring Harness - Bus Emergency Door Exterior,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-064,024,064,Soal Bus Emorgoney Door Exterior Lamp Lons,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-004,024,004,Seal - Dus Emergency Door Exterior Earlip Lens,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-065,024,065,"Lamp - Interior, Bus Entry Door",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-066,024,066,"Hardware, Mounting - Bus Entry Door Internal",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
