PART,MANUFACTURER,DESCRIPTION,SYSTEM,COMPONENT,ASSEMBLY,constructed_code
8600094,DELCO-REMY AMERICA,"ALTERNATOR,40SI, 275 AMP",31,1,1,031-001-001
8600298,DELCO-REMY AMERICA,300 AMP ALTERNATOR,31,1,,031-001-000
8600314,DELCO-REMY AMERICA,"ALTERNATOR, 28SI, 200A",31,1,1,031-001-001
8600315,DELCO-REMY AMERICA,"ALTERNATOR, 28SI 12V, 160A",31,1,1,031-001-001
8600316,DELCO-REMY AMERICA,ALTERNATOR,31,1,1,031-001-001
86006,"MAGLINER, INC.","KIT, STAIR CLIMBER C5",55,6,0,055-006-000
8600628,DELCO-REMY AMERICA,ALTERNATOR,31,1,0,031-001-000
86031,"MAGLINER, INC.","HANDLE, BOLTED DBL GRIP",55,6,14,055-006-014
8605114,FREIGHTLINER,CORDSET 84 - 120V,42,9,24,042-009-024
86160-76003-71,TOYOTA,E-RING,266,0,0,266-000-000
862,BRIDGESTONE TIRE,"TIRE ALENZA, 275/55R20",18,0,,018-000-000
863162,NATIONAL LIFT GATE,SHIM (.60),266,0,0,266-000-000
86511719,ACDELCO,SL-N-ARM,15,3,27,015-003-027
86530621,GENERAL MOTORS CORP,CONTROL,15,0,0,015-000-000
86759,TENNANT,"SQUEEGEE, RETAINER",61,11,16,061-011-016
8677743,ACDELCO,"GASKET, TRANS FLUID PAN",27,36,2,027-036-002
86785939,GENERAL MOTORS CORP,"LOCK, SLIDING DOOR",72,0,0,072-000-000
86785942,CHEVROLET MOTOR,"LATCH, DOOR, REAR",2,22,44,002-022-044
86785943,GENERAL MOTORS CORP,DOOR LATCH ASSY,2,18,24,002-018-024
86786771,ACDELCO,"KIT, FUEL TANK PUMP MODULE",44,3,,044-003-000
86788779,GMC TRUCK DIVISION,"KIT, PIN",13,1,130,013-001-130
86859,TENNANT,SQUEEGE-SEWN ASSEMBLY,161,2,0,161-002-000
869,BRAKEBEST,"SHOE, BRAKE, PARKING",13,3,24,013-003-024
8700018,"DELCO-REMY DIV., GMC","ALTERNATOR, REMAN",31,1,1,031-001-001
8700047,DELCO-REMY AMERICA,"ALTERNATOR, 36SI, 12V, 170A",31,1,1,031-001-001
870316,RAINX,"BLADE, 16"" HYBRID WIPER",2,35,15,002-035-015
870421,RAINX,"21"" WIPER BLADE",2,35,15,002-035-015
870428,RAINX,"28"" WIPER BLADE",2,35,15,002-035-015
87103-76015-71,TOYOTA,"DRIVE,SPROCKET,BEARING",266,0,0,266-000-000
8711CCR1U01,PANASONIC,RELAY,37,0,0,037-000-000
87141,"GROTE INDS, INC.","NOSEBOX, 7 WAY, SOLID PIN",34,4,410,034-004-410
87151,"GROTE INDS, INC.","NOSEBOX, 7-WAY, SPLIT PIN",34,4,410,034-004-410
87170,"GROTE INDS, INC.","CABLE, 7-WAY, ABS, 15'",34,3,158,034-003-158
87172,TENNANT,CABLE,61,0,,061-000-000
8718,WHITING ROLL-UP DOOR,"LOCK, FALL AWAY, COLDSAVER",72,4,14,072-004-014
87182,"GROTE INDS, INC.","CABLE, 7-WAY, NON-ABS, 15'",34,3,185,034-003-185
8719N,OREILLY AUTO PARTS,ALTERNATOR,31,1,,031-001-000
87221,OREILLY AUTO PARTS,"50/50,YL,ANTI-FREEZE,COOLANT",42,10,0,042-010-000
87250,"GROTE INDS, INC.","SOCKET, 7-WAY, 2 HOLE",34,3,34,034-003-034
87350,"GROTE INDS, INC.","HARNESS, NOSEBOX",34,4,188,034-004-188
87419,TENNANT,"BRUSH, DISK, SWP",161,1,0,161-001-000
87-5000,"GROTE INDS, INC.","WIRE, 10GA RED, 100""",53,17,3,053-017-003
8750B,EKU,"DRUM, BRAKE, 16.50"" X 7.00""",13,2,23,013-002-023
87590,"GROTE INDS, INC.","NOSEBOX, 7-WAY, SOLID PIN",34,4,410,034-004-410
87645,TRUCK-LITE CO,"12V 3 LED, RED, CLEARANCE LIGH",34,2,1,034-002-001
8767386,MAG1,"HYDRAULIC OIL, ISO32",53,999,167,053-999-167
87816,TENNANT,"SPRING, EXTENSION",59,1,7,059-001-007
87822532,ACDELCO,"YOKE, DRIVE PINION GEAR",24,2,61,024-002-061
87904M,NELSON MFG,"FILTER, POWER STEERING",15,5,46,015-005-046
880000040,FREIGHTLINER,COVER WITH O RING,50,0,0,050-000-000
88171 757,FREIGHTLINER,"WASHER, NOZZLE",2,4,175,002-004-175
88227,SUPER START,"TERMINAL, BATTERY",32,1,79,032-001-079
882502CR,NAPA,"ROTOR, REAR DISC BRAKE",13,2,124,013-002-124
882503CR,NAPA,"ROTOR, FRONT BRAKE",13,1,26,013-001-026
88370,CROWN,PIN WELDMENT,266,0,0,266-000-000
8849704,TOTALSOURCE,"ASSY, HOUSING W/ HARNESS",266,1,0,266-001-000
888-5414,DORMAN PROD CO.,"LIGHT, FOGLAMP - ASSY PETERBIL",34,1,0,034-001-000
88862469,GENERAL MOTORS CORP,OIL 15W40,40,0,,040-000-000
88862611,GMC TRUCK DIVISION,"OIL, ENGINE DIESEL 15W40",20,0,0,020-000-000
88865601,ACDELCO,"FLUID, AUTOMATIC TRANSMISSION",53,999,7,053-999-007
88865926,ACDELCO,"OIL, ENG FULL SYN 5W30 1QT",40,0,0,040-000-000
88877682,GENERAL MOTORS CORP,"ROTOR, BRAKE, FRONT",13,1,26,013-001-026
88877684,ACDELCO,"REAR, BRAKE DISC ROTOR",13,2,124,013-002-124
88927919,GENERAL MOTORS CORP,"PADS, BRAKE, FRONT",13,1,139,013-001-139
88970273,GENERAL MOTORS CORP,"FILTER, AIR, CABIN",1,1,219,001-001-219
889785,VALVOLINE,75W90 SYN GEAR OIL,53,999,18,053-999-018
88979479,GENERAL MOTORS CORP,"PAD, SEAT CUSHION",2,27,253,002-027-253
88AS64,FIRESTONE,"SUSPENSION,SIR,SPRING,ASSEMBLY",16,8,1,016-008-001
89018168,CHEVROLET MOTOR,THERMASTATE,42,0,0,042-000-000
89018960,GENERAL MOTORS CORP,ACTUATOR AIR DOOR,2,18,1,002-018-001
89021185,ACDELCO,"FLUID, POWER STEERING",53,999,11,053-999-011
89036357,GENERAL MOTORS CORP,"WATER, PUMP",42,4,1,042-004-001
89060413,GENERAL MOTORS CORP,"GASKET, MANIFOLD, INTAKE",41,2,3,041-002-003
89120,DAYCO CORP,"PULLEY, IDLER/TENSIONER",45,2,98,045-002-098
891350,NAPA,NAPA SYN 75W90 GEAR OIL,53,999,18,053-999-018
891HT-12-300,PARKER-HANNIFIN CORP,"HOSE, SUCTION",53,8,3,053-008-003
891HT12RL,PARKER-HANNIFIN CORP,"HOSE, HIGH PRESSURE SUCTION",53,8,3,053-008-003
89256EV020,HINO,"SENSOR, LEVEL WARNING",40,0,,040-000-000
8932,SACKETT SYSS INC.,"VALVE, PRESSURE CONTROL",361,10,0,361-010-000
894015,VALVOLINE,"OIL, 15W40",53,999,16,053-999-016
8943390733,ISUZU MOTORS LTD,HOSE,94,8,1,094-008-001
89448,DAYCO CORP,"TENSIONER, HD",31,0,0,031-000-000
89449,FORD MOTOR CO,TENSIONER,40,0,0,040-000-000
8946073120,MERITOR WABCO,"CORD, ABS POWER",13,11,18,013-011-018
8946073130,WABCO AUTOMOTIVE,POWER CABLE TSC II,13,12,,013-012-000
89473,DAYCO CORP,BELT TENSIONER,31,1,84,031-001-084
89482,DAYCO CORP,HD TENSIONER,31,1,84,031-001-084
8-97251-341-1,ISUZU MOTORS LTD,"COMPRESSOR, A/C",1,1,2,001-001-002
