vendor_part,vendor_manufacturer,vendor_description,vmrs_code,vmrs_description,similarity
064322-001,CROWN,HOSE ASSEMBLY,015-005-003,Hose Assembly - Flessule Line,0.5
064323-001,CROWN,HOSE ASSEMBLY,015-005-003,Hose Assembly - Flessule Line,0.5
064337-001,CROWN,HOSE ASSEMBLY,015-005-003,Hose Assembly - Flessule Line,0.5
064338-001,CROWN,HOSE ASSEMBLY,015-005-003,Hose Assembly - Flessule Line,0.5
065012-004,CROWN,BUSHING,053-007-083,Bushing,1.0
65706,"BENDIX CORP, THE","VALVE, TRACTOR PROTECTION",013-010-016,Tractor Protection Control Valve,0.75
06-61331-003,FREIGHTLINER,"BRACKET, BATTERY BOX",014-005-004,Mounting Bracket - Battery Box,0.75
06-62384-002,FREIGHTLINER,"SENSOR, COOLANT LEVEL",003-001-052,Sensor - Coolant Level,1.0
06-83353-000,FREIGHTLINER,BRACKET - TURN SIGNAL SWITCH,034-003-075,Bracket - Turn Signal Switch,1.0
06-84022-004,FREIGHTLINER,"BRACKET, TAIL, LAMP",034-002-006,Bracket - Stop & Tail Lamp,0.75
06-89334-002,FREIGHTLINER,"SWITCH, TURN SIGNAL/WIPER",034-003-016,Switch - Turn Signal Operating,0.6
06-90627-000,FREIGHTLINER,"JUMPER,BATTERY CABLE, POSITIVE",032-001-042,"Jumper - Battery Cable, Positive",1.0
06-90628-000,FREIGHTLINER,"JUMPER,BATTERY CABLE, NEGATIVE",032-001-043,"Jumper - Battery Cable, Negative",1.0
06-93316-000,FREIGHTLINER,"SENSOR, COOLANT LEVEL",003-001-052,Sensor - Coolant Level,1.0
069374-001,CROWN,DECAL,002-033-012,Decal - All,0.5
06-94788-000,FREIGHTLINER,"GASKET, FUEL GAUGE SENSOR",003-001-066,"Gasket - Sending Unit, Fuel Gauge",0.5
06-97099-001,FREIGHTLINER,TRANSMISSION SHIFTER,027-000-000,Transmission,0.5
06-97460-000,FREIGHTLINER,"SWITCH, TURN, SIGNAL, WIPER",034-003-016,Switch - Turn Signal Operating,0.6
7200028,WABASH NATIONAL,STEEL ROOF BOW,002-006-005,Roof Bow - Cab,0.5
07-23975-000,FREIGHTLINER,TRANSMISSION OIL COOLER LINE,026-013-017,"Hose - Oil Cooler, Manual Transmission",0.5
07-23976-000,FREIGHTLINER,TRANSMISSION OIL COOLER LINE,026-013-017,"Hose - Oil Cooler, Manual Transmission",0.5
07-24813-000,FREIGHTLINER,"HOSE - OIL COOLER, TRANSMISSIO",026-013-017,"Hose - Oil Cooler, Manual Transmission",0.5
07-24814-000,FREIGHTLINER,"HOSE - OIL COOLER, TRANSMISSI",026-013-017,"Hose - Oil Cooler, Manual Transmission",0.5
