PART,MANUFACTURER,DESCRIPTION,CLASS,SYSTEM,COMPONENT,ASSEMBLY,ACTIVE,COMPLETE VMRS,COMPLETE CLASS,word_count,usable
UF104,FLEETGUARD,"FILTER, DEF FLUID",FILTERS,43,7,28,Y,YES,YES,3,True
UF106,FLEETGUARD,"FILTER, DEF FLUID",FILTERS,43,7,28,Y,YES,YES,3,True
UF113,FLEETGUARD,"FILTER, DEF FLUID",FILTERS,43,7,159,Y,YES,YES,3,True
WA10256,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
WA10304,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
WA10337,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
WA10559,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
WA10654,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
WA10680,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
WA10718,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
WA10832,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
WA10905,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
WA10906,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
WF2054,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2070,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2071,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2077,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2096,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2106,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2108,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2121,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2122,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2126,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2127,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
