PART,MANUFACTURER,DESCRIPTION,CLASS,SYSTEM,COMPONENT,ASSEMBLY,ACTIVE,COMPLETE VMRS,COMPLETE CLASS,word_count,usable
290034,MAXON,"FILTER, PUMP, INLET",FILTERS,55,10,151,Y,YES,YES,3,True
29539579,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,23,Y,YES,YES,3,True
29542824,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,4,Y,YES,YES,3,True
29558293,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,4,Y,YES,YES,3,True
29558328,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,4,Y,YES,YES,3,True
29558329,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,8,Y,YES,YES,3,True
29558331,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,8,Y,YES,YES,3,True
297569,MAXON,"FILTER, OIL, HYDRAULIC",FILTERS,55,10,151,Y,YES,YES,3,True
297573,MAXON,"FILTER, OIL, HYDRAULIC",FILTERS,55,10,221,Y,YES,YES,3,True
2I8660,MITSUBISHI,"FILTER, OIL, ENGINE",FILTERS,266,2,0,Y,YES,YES,3,True
2L2Z-9155-AB,FORD MOTOR CO,"FILTER, FUEL, PRIMARY",FILTERS,44,2,1,Y,YES,YES,3,True
2L2Z-9601-AC,FORD MOTOR CO,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
30-00323-00,CARRIER CORP,"FILTER, OIL, ENGINE",FILTERS,82,41,6,Y,YES,YES,3,True
30-00430-23,CARRIER CORP,"FILTER, AIR, ENGINE",FILTERS,82,41,17,Y,YES,YES,3,True
30-00450-00,CARRIER CORP,"FILTER, OIL, ENGINE",FILTERS,82,41,6,Y,YES,YES,3,True
30-00463-00,CARRIER CORP,"FILTER, OIL, ENGINE",FILTERS,82,41,6,Y,YES,YES,3,True
30-00471-20,CARRIER CORP,"FILTER, AIR, ENGINE",FILTERS,82,41,17,Y,YES,YES,3,True
30-01077-01,CARRIER CORP,"FILTER, AIR, ENGINE",FILTERS,82,41,17,Y,YES,YES,3,True
30-01090-04,CARRIER CORP,"FILTER, FUEL/WATER SEPARATOR",FILTERS,82,39,12,Y,YES,YES,3,True
30-01090-05,CARRIER CORP,"FILTER, FUEL, PRIMARY",FILTERS,82,39,12,Y,YES,YES,3,True
3004473C93,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",FILTERS,44,2,16,Y,YES,YES,3,True
30-50373-00SV,CARRIER CORP,"FILTER, KIT, ENGINE, PM",FILTERS,82,41,5,Y,YES,YES,4,True
30-50374-00SV,CARRIER CORP,"FILTER, KIT, ENGINE, PM",FILTERS,82,41,5,Y,YES,YES,4,True
30A4000103,MITSUBISHI,"FILTER, OIL, ENGINE",FILTERS,266,1,0,Y,YES,YES,3,True
31103-00,MERITOR N.A.,"FILTER, INLINE, TIRE INFLATION",FILTERS,17,9,6,Y,YES,YES,4,True
32670-12620-71,TOYOTA,"FILTER, OIL, TRANSMISSION",FILTERS,266,2,0,Y,YES,YES,3,True
3321143,POWERBOSS,"FILTER, AIR, ENGINE",FILTERS,266,2,0,Y,YES,YES,3,True
3322572,POWERBOSS,"FILTER, AIR, ENGINE",FILTERS,266,2,0,Y,YES,YES,3,True
3336584,POWERBOSS,"FILTER, FUEL, LPG",FILTERS,266,2,0,Y,YES,YES,3,True
3342201,POWERBOSS,"FILTER, OIL, ENGINE",FILTERS,266,2,0,Y,YES,YES,3,True
3344840,POWERBOSS,"FILTER, OIL, ENGINE",FILTERS,61,2,4,Y,YES,YES,3,True
33837,MICROGARD,"FILTER, FUEL, PRIMARY",FILTERS,44,2,19,Y,YES,YES,3,True
34724,ROBINAIR DIVISION,"FILTER, REFRIGERANT, DRYER",FILTERS,53,11,1,Y,YES,YES,3,True
3604,NAPA,"FILTER, FUEL/WATER SEPARATOR",FILTERS,44,2,87,Y,YES,YES,3,True
3670134C1,NAVISTAR,"FILTER, A/C, RECEIVER/DRYER",FILTERS,1,1,438,Y,YES,YES,3,True
3672,MICROGARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
369746,TENNANT,"FILTER, AIR, ENGINE",FILTERS,61,0,0,Y,YES,YES,3,True
371972,TENNANT,"FILTER, OIL, ENGINE",FILTERS,61,0,0,Y,YES,YES,3,True
3839141C1,NAVISTAR,"FILTER, CABIN, AIR",FILTERS,1,1,219,Y,YES,YES,3,True
3839326C1,NAVISTAR,"FILTER, AIR, CABIN, RECIRC",FILTERS,1,1,219,Y,YES,YES,4,True
386326,TENNANT,"FILTER, DUST, FAN, VACUUM",FILTERS,61,0,0,Y,YES,YES,4,True
3905161S,FLEETGUARD,"GAUGE, RESTRICTION, FILTER",FILTERS,41,1,42,Y,YES,YES,3,True
3937557S,FLEETGUARD,"FILTER, OIL, POWER STEERING",FILTERS,15,5,46,Y,YES,YES,4,True
393982,TENNANT,"FILTER, OIL, ENGINE",FILTERS,61,,,Y,NO,YES,3,True
398279,TENNANT,"FILTER, AIR, ENGINE",FILTERS,61,0,0,Y,YES,YES,3,True
3C3Z-6731-AA,FORD MOTOR CO,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
3C3Z-9N184-CB,FORD MOTOR CO,"FILTER, FUEL/WATER SEPARATOR",FILTERS,44,2,16,Y,YES,YES,3,True
4000258,HYSTER CO.,"FILTER, OIL, HYDRAULIC",FILTERS,266,3,0,Y,YES,YES,3,True
4020588,HYSTER CO.,"FILTER, OIL, TRANSMISSION",FILTERS,266,2,0,Y,YES,YES,3,True
4043517C1,NAVISTAR,"FILTER, OIL, POWER STEERING",FILTERS,15,5,46,Y,YES,YES,4,True
4070948C1,NAVISTAR,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
4071HP,MICROGARD,"FILTER, CABIN, AIR",FILTERS,1,1,219,Y,YES,YES,3,True
4079,MICROGARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
4080114C2,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",FILTERS,44,2,87,Y,YES,YES,3,True
4090340,HYSTER CO.,"FILTER, OIL, ENGINE",FILTERS,266,2,0,Y,YES,YES,3,True
4093,MICROGARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
4107,MICROGARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
4107HP,MICROGARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
4110,MICROGARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
4123,MICROGARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
4132,MICROGARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
420438-1,TICO TRACTORS,"FILTER, OIL, HYDRAULIC",FILTERS,65,6,18,Y,YES,YES,3,True
4304827,FULLER TRANSMISSION,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,,Y,NO,YES,3,True
4324209232,ZF WABCO,"CARTRIDGE, AIR DRYER",FILTERS,13,10,129,Y,YES,YES,3,True
4329012482,ZF WABCO,"CARTRIDGE, AIR DRYER",FILTERS,13,10,129,Y,YES,YES,3,True
4478300100,MERCEDES-BENZ OF NA,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
46646,WIX CORP,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
46916,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
49017,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
49019-0032,KAWASAKI,"FILTER, FUEL, PRIMARY, KIT",FILTERS,44,2,,Y,NO,YES,4,True
49022,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
49064,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
4920476,CUMMINS ENGINE CO,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
49225,WIX CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
4C2Z-9N184-BA,FORD MOTOR CO,"FILTER, FUEL/WATER SEPARATOR",FILTERS,44,2,16,Y,YES,YES,3,True
5008414,"BENDIX CORP, THE","CARTRIDGE, AIR DRYER",FILTERS,13,10,129,Y,YES,YES,3,True
51551,WIX CORP,"FILTER, OIL, HYDRAULIC",FILTERS,65,6,18,Y,YES,YES,3,True
518217,CARQUEST,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
5303604,CUMMINS ENGINE CO,"FILTER, DEF FLUID",FILTERS,43,7,28,Y,YES,YES,3,True
5363390,CUMMINS ENGINE CO,"FILTER, FUEL, PRIMARY",FILTERS,44,2,1,Y,YES,YES,3,True
5507120,THERMO KING,"FILTER, AIR, ENGINE",FILTERS,82,41,17,Y,YES,YES,3,True
552119,NAPA,"FILTER, AIR, CABIN",FILTERS,41,1,5,Y,YES,YES,3,True
5579176,CUMMINS ENGINE CO,"FILTER, DEF, KIT",FILTERS,43,7,28,Y,YES,YES,3,True
56510581,NILFISK,"FILTER, SOLUTION, KIT",FILTERS,61,10,0,Y,YES,YES,3,True
5679573,CUMMINS ENGINE CO,"FILTER, CRANKCASE, VENTILATION",FILTERS,45,14,7,Y,YES,YES,3,True
57082,WIX CORP,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
5C3Z-9601-AB,FORD MOTOR CO,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
5S013817,"PACCAR, INC.","FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
5Z768,SOLBERG,"FILTER, AIR, COKE PUMP",FILTERS,92,2,46,Y,YES,YES,4,True
610600,THERMO KING,"FILTER, DRIER, REFRIGERANT",FILTERS,82,10,2,Y,YES,YES,3,True
667800,THERMO KING,"FILTER, OIL, ENGINE",FILTERS,82,2,,Y,NO,YES,3,True
67501-12900-71,TOYOTA,"FILTER, OIL, HYDRAULIC",FILTERS,266,3,0,Y,YES,YES,3,True
67502-23000-71,TOYOTA,"FILTER, OIL, HYDRAULIC",FILTERS,266,3,0,Y,YES,YES,3,True
67502-23320-71,TOYOTA,"FILTER, OIL, HYDRAULIC",FILTERS,266,3,0,Y,YES,YES,3,True
67502-U2230-71,TOYOTA,"FILTER, OIL, HYDRAULIC",FILTERS,266,3,0,Y,YES,YES,3,True
6C2Z-9601-C,FORD MOTOR CO,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
7-24-04085,NILFISK,"FILTER, AIR, OUTER",FILTERS,61,0,0,Y,YES,YES,3,True
7-24-04086,NILFISK,"FILTER, AIR, INNER",FILTERS,61,0,0,Y,YES,YES,3,True
78677270,VOLVO,"FILTER, PUMP, SCREENWASH",FILTERS,2,35,81,Y,YES,YES,3,True
7C3Z-9601-C,FORD MOTOR CO,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
82269261,VOLVO,"FILTER, FILLER NECK, DEF",FILTERS,43,7,188,Y,YES,YES,4,True
84000015,GENERAL MOTORS CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
84373974,GENERAL MOTORS CORP,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
844179,BRIGGS & STRATTON,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
845090,BRIGGS & STRATTON,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
85249,CARQUEST,"FILTER, OIL, ENGINE",FILTERS,45,11,5,Y,YES,YES,3,True
87904M,NELSON MFG,"FILTER, POWER STEERING",FILTERS,15,5,46,Y,YES,YES,3,True
88970273,GENERAL MOTORS CORP,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
8C3Z-7A098-D,FORD MOTOR CO,"FILTER, OIL, TRANSMISSION",FILTERS,27,36,4,Y,YES,YES,3,True
90022187,OTTAWA TRUCKS NA,"FILTER, A/C, RECEIVER/DRYER",FILTERS,1,1,438,Y,YES,YES,3,True
90033647,OTTAWA TRUCKS NA,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
90035364,OTTAWA TRUCKS NA,"FILTER, AIR, ENGINE, SECONDARY",FILTERS,41,1,89,Y,YES,YES,4,True
90035365,OTTAWA TRUCKS NA,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
90036438,OTTAWA TRUCKS NA,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
90036439,OTTAWA TRUCKS NA,"FILTER, AIR, RECIRCULATION",FILTERS,1,1,219,Y,YES,YES,3,True
90037519,OTTAWA TRUCKS NA,"FILTER, OIL, HYDRAULIC",FILTERS,59,36,14,Y,YES,YES,3,True
9007380,TENNANT,"FILTER, FUEL, PRIMARY, LPG",FILTERS,61,0,0,Y,YES,YES,4,True
9017,NAPA,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
9087,NAPA,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
90915-YZZD1,TOYOTA,"FILTER, OIL, ENGINE",FILTERS,266,2,0,Y,YES,YES,3,True
91H2100240,MITSUBISHI,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
9T1Z-9601-A,FORD MOTOR CO,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
A0000-00063,MITSUBISHI,"FILTER, AIR, ENGINE",FILTERS,266,2,0,Y,YES,YES,3,True
A000003458,MITSUBISHI,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
A0000901351,MERCEDES-BENZ OF NA,"FILTER, FUEL, PRIMARY",FILTERS,44,2,1,Y,YES,YES,3,True
A0000901551,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY",FILTERS,44,2,2,Y,YES,YES,3,True
A0000904851,DETROIT DIESEL CORP,"FILTER, FUEL/WATER SEPARATOR",FILTERS,44,2,16,Y,YES,YES,3,True
A0000905051,DETROIT DIESEL CORP,"FILTER, FUEL/WATER SEPERATOR",FILTERS,44,2,16,Y,YES,YES,3,True
A0000905151,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",FILTERS,44,2,19,Y,YES,YES,4,True
A0000905251,DETROIT DIESEL CORP,"FILTER, FUEL/WATER SEPARATOR",FILTERS,44,2,2,Y,YES,YES,3,True
A0001400594,DETROIT DIESEL CORP,"FILTER, DEF FLUID",FILTERS,43,7,159,Y,YES,YES,3,True
A0001420289,MERCEDES-BENZ OF NA,"FILTER, DEF FLUID",FILTERS,43,7,28,Y,YES,YES,3,True
A0001421089,MERCEDES-BENZ OF NA,"FILTER, DEF FLUID",FILTERS,43,7,28,Y,YES,YES,3,True
A0001802909,MERCEDES-BENZ OF NA,"FILTER, OIL, ENGINE",FILTERS,45,11,5,Y,YES,YES,3,True
A0004700892,DETROIT DIESEL CORP,"FILTER, DEF FLUID",FILTERS,43,7,28,Y,YES,YES,3,True
A04-27207-000,FREIGHTLINER,"FILTER, DEF FLUID",FILTERS,43,7,28,Y,YES,YES,3,True
A4700903151,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",FILTERS,44,2,19,Y,YES,YES,4,True
A4710900955,FREIGHTLINER,"FILTER, 3-2 CONVERSION, FUEL",FILTERS,44,2,1,Y,YES,YES,4,True
A4711800209,DETROIT DIESEL CORP,"FILTER, OIL, ENGINE",FILTERS,45,11,5,Y,YES,YES,3,True
A4720921705,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",FILTERS,44,2,19,Y,YES,YES,4,True
A4722030355,DETROIT DIESEL CORP,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
A4731800409,MERCEDES-BENZ OF NA,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
A4731800909,MERCEDES-BENZ OF NA,"FILTER, OIL, ENGINE",FILTERS,45,11,5,Y,YES,YES,3,True
A5410900151,MERCEDES-BENZ OF NA,"FILTER, FUEL, PRIMARY",FILTERS,44,2,2,Y,YES,YES,3,True
A9061800209,DETROIT DIESEL CORP,"FILTER, OIL, ENGINE",FILTERS,45,11,5,Y,YES,YES,3,True
A9061810086,DETROIT DIESEL CORP,"FILTER, OIL, CENTRIFUGE KIT",FILTERS,45,11,67,Y,YES,YES,4,True
A9360900651,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",FILTERS,44,2,19,Y,YES,YES,4,True
A9361807410,DETROIT DIESEL CORP,"FILTER, OIL, ENGINE",FILTERS,45,11,5,Y,YES,YES,3,True
AA5Z-6714-A,FORD MOTOR CO,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
AA5Z-6714-B,FORD MOTOR CO,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
AD27747,FLEETGUARD,"CARTRIDGE, AIR DRYER",FILTERS,13,10,129,Y,YES,YES,3,True
AD27750,FLEETGUARD,"CARTRIDGE, AIR DRYER",FILTERS,13,10,129,Y,YES,YES,3,True
AD56413195,NILFISK,"FILTER, AIR, VACUUM",FILTERS,61,0,0,Y,YES,YES,3,True
AF24302,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF24305,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25033,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25119,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25133,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25139M,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25248,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25306,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25337M,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25423,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25550,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25551,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25572,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25590,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25636,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25684,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25700,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25707,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25732,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25757,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF25854,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26103,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26152,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26154,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26163M,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26193,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26203,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26235,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF26268,FLEETGUARD,"FILTER, AIR, ENGINE, SECONDARY",FILTERS,41,1,5,Y,YES,YES,4,True
AF26324,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26328M,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26363,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26375,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26405,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF26424,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26427,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF26429,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF26430,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF26449,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF26450,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF26459,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF26462,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF26472M,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF26657,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF27684,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF27687,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF27688,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF27693,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF27706,FLEETGUARD,"FILTER, AIR, ENGINE, SECONDARY",FILTERS,41,1,89,Y,YES,YES,4,True
AF27823,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF27882,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF27910,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF27958,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF4135,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4195,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4219,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4222,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4263,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4283,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4284,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4286,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4331,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4339,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4343,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4344,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF435KM,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4739,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF4878,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF55005,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF55014,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF55021,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF55308,FLEETGUARD,"FILTER, AIR, ENGINE, SECONDARY",FILTERS,41,1,89,Y,YES,YES,4,True
AF55309,FLEETGUARD,"FILTER, AIR, ENGINE, SECONDARY",FILTERS,41,1,89,Y,YES,YES,4,True
AF55700,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF55704,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF55764,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF55820,FLEETGUARD,"FILTER, AIR, CABIN, RECIRC",FILTERS,1,1,219,Y,YES,YES,4,True
AF55832,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF55836,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF55837,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF55839,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF56054,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF56060,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF56065,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF56099,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF56102,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF56107,FLEETGUARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
AF56500,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF839,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF979,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
AF979M,FLEETGUARD,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
