PART,MANUFACTURER,DESCRIPTION,NOTES,Review Notes,MANF_PARTMFR,MANF_PARTMFR_NAME,MANF_PARTNUMBER,Match,MANF_SPARTNUMBER,VMRS,SYSTEM_,ASSEMBLY_,COMPONENT_
1000018215DSM,KENWORTH TRUCK CO,DUCT ASSY,,,BRGSR,BERGSTROM,1000018215,0.0,1000018215,001-000-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",,
464980,BERGSTROM,"RING, AIR INLET",,,BRGSR,BERGSTROM,464980,1.0,464980,001-000-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",,
84704349,VOLVO,FUSE PANEL COVER,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",84704349,1.0,84704349,002-000-000,CAB AND SHEET METAL,,
84723753,VOLVO,EXTENSION,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",84723753,1.0,84723753,002-000-000,CAB AND SHEET METAL,,
84724946,VOLVO,FAIRING - CHASSIS,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",84724946,1.0,84724946,002-000-000,CAB AND SHEET METAL,,
84904463,VOLVO,PANEL,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",84904463,1.0,84904463,002-000-000,CAB AND SHEET METAL,,
S64-6078-00281,PETERBILT MOTORS CO,"PANEL, D TECH",,,PACCR,PACCAR CORPORATION,S64-6078-00281,1.0,S64607800281,002-000-000,CAB AND SHEET METAL,,
5698456,CUMMINS ENGINE CO,"SENSOR, PRS TEMPERATURE",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5698456,1.0,5698456,003-000-000,"INSTRUMENTS, GAUGES, WARNING AND SHUTDOWN DEVICES AND METERS",,
22849145,VOLVO,"CAP, SUPPLY, SOLENOID",,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",22849145,1.0,22849145,013-000-000,BRAKES,,
703080,FREIGHTLINER,AMU GASKET,,,NORGR,"NORGREN, LTD.",703080,1.0,703080,013-000-000,BRAKES,,
DDE A9062032102,DETROIT DIESEL CORP,"HOSE, COOLANT AIR COMPRESSOR",,,DTDSC,DETROIT DIESEL CORPORATION,A9062032102,0.0,A9062032102,013-000-000,BRAKES,,
DSNCHA018005,DENSO INTL AMERICA,DISC BRAKE TORQUE ADAPTOR,,,DTDSC,DETROIT DIESEL CORPORATION,DSNCHA018005,1.0,DSNCHA018005,013-000-000,BRAKES,,
22591207,VOLVO,TRIM FRAME,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",22591207,1.0,22591207,014-000-000,FRAME COMPONENTS,,
6990-450215X1,"MACK TRUCKS, INC.",REPAIR KIT,,,MACKX,"MACK TRUCKS, INC.",6990-450215X1,1.0,6990450215X1,015-000-000,STEERING,,
25173666,"MACK TRUCKS, INC.","AXLE, PLATE, BOTTOM",,,MACKX,"MACK TRUCKS, INC.",25173666,1.0,25173666,016-000-000,SUSPENSION,,
W709160-S300,FORD MOTOR CO,GREASE SEAL RETAINER,,,FORDX,"FORD, A DIVISION OF FORD MOTOR CO.",W709160-S300,1.0,W709160S300,018-000-000,"WHEELS, RIMS, HUBS AND BEARINGS",,
23218715,KENWORTH TRUCK CO,DRIVE SHAFT,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",23218715,1.0,23218715,026-000-000,"TRANSMISSION - MAIN, MANUAL",,
85023506,VOLVO,GEAR KIT,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",85023506,1.0,85023506,026-000-000,"TRANSMISSION - MAIN, MANUAL",,
AT29559768,ALLISON TRANSMISSION,"KIT-SEAL AND GASKET, CONTROL M",,,ALLSN,"ALLISON TRANSMISSION, INC.",29559768,0.0,29559768,026-000-000,"TRANSMISSION - MAIN, MANUAL",,
FUL4306650,INTERNATIONAL,"CLUTCH, SLG M/S",,,NVSTR,NAVISTAR INTERNATIONAL TRANSPORTATION CORP.,FUL4306650,1.0,FUL4306650,026-000-000,"TRANSMISSION - MAIN, MANUAL",,
K3419,FULLER TRANSMISSION,TRANSMISSION INPUT SHAFT,,,EATON,EATON CORPORATION,K3419,1.0,K3419,026-000-000,"TRANSMISSION - MAIN, MANUAL",,
29564219,ALLISON TRANSMISSION,BALL BEARING ASSEMBLY,,,ALLSN,"ALLISON TRANSMISSION, INC.",29564219,1.0,29564219,027-000-000,TRANSMISSION - AUTOMATIC,,
4306043,EATON CORP,"SELECTOR, SHIFT",,,EATON,EATON CORPORATION,4306043,1.0,4306043,027-000-000,TRANSMISSION - AUTOMATIC,,
85112622,VOLVO,GEAR SELECTOR CONTROL UNIT,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",85112622,1.0,85112622,027-000-000,TRANSMISSION - AUTOMATIC,,
90027448,KALMAR LMV,SPRING COMPRESSION,,,OTTST,"OTTAWA TRUCK DIV., GULF WESTERN MFG. CO.",90027448,1.0,90027448,027-000-000,TRANSMISSION - AUTOMATIC,,
12256491,KNAPHEIDE,LED SURFACE MOUNT LIGHT WITH I,,,KNPHD,"KNAPHEIDE MFG. CO., THE",12256491,1.0,12256491,034-000-000,LIGHTING SYSTEM,,
2044398PE,"PACCAR, INC.","HARNESS, AFTERTREATMENT",,,PACCR,PACCAR CORPORATION,2044398PE,1.0,2044398PE,034-000-000,LIGHTING SYSTEM,,
3559349C1,NAVISTAR,BRACKET SOCKET,,,NVSTR,NAVISTAR INTERNATIONAL TRANSPORTATION CORP.,3559349C1,1.0,3559349C1,034-000-000,LIGHTING SYSTEM,,
6L5Z-13404-A,FORD MOTOR CO,"TAIL, LAMP",,,FORDX,"FORD, A DIVISION OF FORD MOTOR CO.",6L5Z-13404-A,1.0,6L5Z13404A,034-000-000,LIGHTING SYSTEM,,
85718,DORMAN PROD CO.,"WIRE, 14GA BLACK",,,DRMPR,DORMAN PRODUCTS CO.,85718,1.0,85718,034-000-000,LIGHTING SYSTEM,,
GN1261183GT,GENE (DOCK DOORS),LIGHT,,,GENIE,GENIE INDUSTRIES,1261183GT,0.0,1261183GT,034-000-000,LIGHTING SYSTEM,,
04-33675-000,FREIGHTLINER,"BELLOWS-P4,DD13,1US,ATS INLET",,,FRGHT,FREIGHTLINER CORPORATION,04-33675-000,1.0,0433675000,041-000-000,AIR INTAKE SYSTEM,,
3686838,CUMMINS ENGINE CO,"CLAMP,T,BOLT",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3686838,1.0,3686838,041-000-000,AIR INTAKE SYSTEM,,
3686839,VOLVO,CLAMP,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3686839,1.0,3686839,041-000-000,AIR INTAKE SYSTEM,,
4965329,CUMMINS ENGINE CO,T BOLT CLAMP,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4965329,1.0,4965329,041-000-000,AIR INTAKE SYSTEM,,
4946501,CUMMINS ENGINE CO,WATER OULET CONNECTION,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4946501,1.0,4946501,042-000-000,COOLING SYSTEM,,
5261014,CUMMINS ENGINE CO,"CONNECTION, WATER OUTLET",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5261014,1.0,5261014,042-000-000,COOLING SYSTEM,,
1827320PE,"PACCAR, INC.","GASKET, EXHAUST, AFTERTREATMEN",,,PACCR,PACCAR CORPORATION,1827320PE,1.0,1827320PE,043-000-000,EXHAUST SYSTEM,,
1844896PE,PETERBILT MOTORS CO,GASKET-EXHAUST CIRCULAR 4,,,PACCR,PACCAR CORPORATION,1844896PE,1.0,1844896PE,043-000-000,EXHAUST SYSTEM,,
1886111PE,PETERBILT MOTORS CO,GASKET-EXHAUST PIPE 113.9,,,PACCR,PACCAR CORPORATION,1886111PE,1.0,1886111PE,043-000-000,EXHAUST SYSTEM,,
2035973PE,"PACCAR, INC.","GASKET, EGR EXHAUST",,,PACCR,PACCAR CORPORATION,2035973PE,1.0,2035973PE,043-000-000,EXHAUST SYSTEM,,
2158132PE,PETERBILT MOTORS CO,"FLANGE BOLT, M6 X 60",,,PACCR,PACCAR CORPORATION,2158132PE,1.0,2158132PE,043-000-000,EXHAUST SYSTEM,,
5579020,CUMMINS ENGINE CO,"KIT, EXHAUST OUTLET",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5579020,1.0,5579020,043-000-000,EXHAUST SYSTEM,,
M05-1004-001,KENWORTH TRUCK CO,"PIN, EXHAUST",,,PACCR,PACCAR CORPORATION,M05-1004-001,1.0,M051004001,043-000-000,EXHAUST SYSTEM,,
4376527,CUMMINS ENGINE CO,"KIT, UPFIT",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4376527,1.0,4376527,044-000-000,FUEL SYSTEM,,
204994,CUMMINS ENGINE CO,"CONNECTOR, MALE",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",204994,1.0,204994,045-000-000,POWER PLANT,,
2882564,INTERNATIONAL,PRESSURE SENSING TUBE,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",2882564,1.0,2882564,045-000-000,POWER PLANT,,
2888086,CUMMINS ENGINE CO,FORMED TUBE,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",2888086,1.0,2888086,045-000-000,POWER PLANT,,
3101215,CUMMINS ENGINE CO,"SEAL, RECTANGULAR RING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3101215,1.0,3101215,045-000-000,POWER PLANT,,
3102802,CUMMINS ENGINE CO,"O-RING,SEAL",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3102802,1.0,3102802,045-000-000,POWER PLANT,,
3104485,CUMMINS ENGINE CO,SPRING HOSE CLAMP,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3104485,1.0,3104485,045-000-000,POWER PLANT,,
3287561,CUMMINS ENGINE CO,WASHER-SEALING,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3287561,1.0,3287561,045-000-000,POWER PLANT,,
3328570,CUMMINS ENGINE CO,CLIP,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3328570,1.0,3328570,045-000-000,POWER PLANT,,
3331873,CUMMINS ENGINE CO,"UNION, MALE",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3331873,1.0,3331873,045-000-000,POWER PLANT,,
3678925,CUMMINS ENGINE CO,"SEAL, O RING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3678925,1.0,3678925,045-000-000,POWER PLANT,,
3684284,CUMMINS ENGINE CO,"WASHER, SEALING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3684284,1.0,3684284,045-000-000,POWER PLANT,,
3686368,CUMMINS ENGINE CO,"SEAL,RECTANGULAR RING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3686368,1.0,3686368,045-000-000,POWER PLANT,,
3687007,CUMMINS ENGINE CO,"SEAL,RECTANGULAR STR",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3687007,1.0,3687007,045-000-000,POWER PLANT,,
3694024,CUMMINS ENGINE CO,"CONNECTOR, QCK DISCONNECT",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3694024,1.0,3694024,045-000-000,POWER PLANT,,
3918190,CUMMINS ENGINE CO,"WASHER, SEALING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3918190,1.0,3918190,045-000-000,POWER PLANT,,
3925975,CUMMINS ENGINE CO,PLAIN HOSE,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3925975,1.0,3925975,045-000-000,POWER PLANT,,
3936876,CUMMINS ENGINE CO,"SEAL, TUBE, OIL FILL",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3936876,1.0,3936876,045-000-000,POWER PLANT,,
3963991,CUMMINS ENGINE CO,"WASHER, SEALING - FUEL LINE",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3963991,1.0,3963991,045-000-000,POWER PLANT,,
3979531,CUMMINS ENGINE CO,COUPLING,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",3979531,1.0,3979531,045-000-000,POWER PLANT,,
4098364,CUMMINS ENGINE CO,"ELBOW, FITTING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4098364,1.0,4098364,045-000-000,POWER PLANT,,
4331267,CUMMINS ENGINE CO,O-RING SEAL,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4331267,1.0,4331267,045-000-000,POWER PLANT,,
4386678,CUMMINS ENGINE CO,UNION FITTING,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4386678,1.0,4386678,045-000-000,POWER PLANT,,
4394336,CUMMINS ENGINE CO,"KIT, PRESSURE SENSOR",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4394336,1.0,4394336,045-000-000,POWER PLANT,,
4921732,CUMMINS ENGINE CO,TAPPET,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4921732,1.0,4921732,045-000-000,POWER PLANT,,
4932701,CUMMINS ENGINE CO,"COUPLING, HOSE, PLAIN",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4932701,1.0,4932701,045-000-000,POWER PLANT,,
4934279,CUMMINS ENGINE CO,"WASHER, SEALING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4934279,1.0,4934279,045-000-000,POWER PLANT,,
4938644,CUMMINS ENGINE CO,"CONNECTOR, FEMALE, OIL DRAIN",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4938644,1.0,4938644,045-000-000,POWER PLANT,,
4940183,CUMMINS ENGINE CO,"UNION, MALE, LUBRICATION",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4940183,1.0,4940183,045-000-000,POWER PLANT,,
4954487,CUMMINS ENGINE CO,"SEAL, O-RING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4954487,1.0,4954487,045-000-000,POWER PLANT,,
4960139,CUMMINS ENGINE CO,"GASKET, COVER, PLATE",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4960139,1.0,4960139,045-000-000,POWER PLANT,,
4965569,CUMMINS ENGINE CO,"KIT, REAR ENGINE SEAL",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4965569,1.0,4965569,045-000-000,POWER PLANT,,
4970013,CUMMINS ENGINE CO,"HOSE,PLAIN",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4970013,1.0,4970013,045-000-000,POWER PLANT,,
4970035,CUMMINS ENGINE CO,HOSE,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4970035,1.0,4970035,045-000-000,POWER PLANT,,
4975873,CUMMINS ENGINE CO,"TUBE, PRESSURE",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4975873,1.0,4975873,045-000-000,POWER PLANT,,
4975874,CUMMINS ENGINE CO,"TUBE, PRESSURE",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",4975874,1.0,4975874,045-000-000,POWER PLANT,,
5256293,CUMMINS ENGINE CO,"ELBOW, PLAIN ADAPTER",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5256293,1.0,5256293,045-000-000,POWER PLANT,,
5264026,CUMMINS ENGINE CO,"ISOLATOR, VIBRATION",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5264026,1.0,5264026,045-000-000,POWER PLANT,,
5264459,CUMMINS ENGINE CO,"HOSE, PLAIN",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5264459,1.0,5264459,045-000-000,POWER PLANT,,
5270057,CUMMINS ENGINE CO,"HOSE, PLAIN",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5270057,1.0,5270057,045-000-000,POWER PLANT,,
5289964,CUMMINS ENGINE CO,"TUBE, FLEXIBLE DPF",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5289964,1.0,5289964,045-000-000,POWER PLANT,,
5311767,CUMMINS ENGINE CO,"TUBE, PRESSURE SENSING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5311767,1.0,5311767,045-000-000,POWER PLANT,,
5312372,CUMMINS ENGINE CO,"SEAL,RECTANGULAR RING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5312372,1.0,5312372,045-000-000,POWER PLANT,,
5318056,CUMMINS ENGINE CO,"CONNECTOR, QCK DISCONNECT",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5318056,1.0,5318056,045-000-000,POWER PLANT,,
5318057,CUMMINS ENGINE CO,"COUPLING, ELBOW HOSE",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5318057,1.0,5318057,045-000-000,POWER PLANT,,
5318060,CUMMINS ENGINE CO,"ELBOW, PLAIN UNION",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5318060,1.0,5318060,045-000-000,POWER PLANT,,
5396203,CUMMINS ENGINE CO,"HOSE, PLAIN",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5396203,1.0,5396203,045-000-000,POWER PLANT,,
5418414,CUMMINS ENGINE CO,"TUBE, PRESSURE SENSING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5418414,1.0,5418414,045-000-000,POWER PLANT,,
5418415,CUMMINS ENGINE CO,PRESSURE SENSING TUBE,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5418415,1.0,5418415,045-000-000,POWER PLANT,,
5418423,CUMMINS ENGINE CO,PRESSURE SENSING TUBE,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5418423,1.0,5418423,045-000-000,POWER PLANT,,
5418425,CUMMINS ENGINE CO,"TUBE, PRESSURE SENSING",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5418425,1.0,5418425,045-000-000,POWER PLANT,,
5418429,CUMMINS ENGINE CO,PRESSURE SENSING TUBE,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5418429,1.0,5418429,045-000-000,POWER PLANT,,
5418430,CUMMINS ENGINE CO,PRESSURE SENSING TUBE,,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5418430,1.0,5418430,045-000-000,POWER PLANT,,
5688577,CUMMINS ENGINE CO,"SHIELD, HEAT",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5688577,1.0,5688577,045-000-000,POWER PLANT,,
A4720150206,FREIGHTLINER,"COVER, CRANKCASE",,,DTDSC,DETROIT DIESEL CORPORATION,A4720150206,1.0,A4720150206,045-000-000,POWER PLANT,,
A9061800720,FREIGHTLINER,PRESS LINE,,,DTDSC,DETROIT DIESEL CORPORATION,A9061800720,1.0,A9061800720,045-000-000,POWER PLANT,,
2234788PE,"PACCAR, INC.",PACCAR OIL ELEMENT,,,PACCR,PACCAR CORPORATION,2234788PE,1.0,2234788PE,047-000-000,"KIT, FILTER - MULTI SYSTEM",,
2241,J.J. KELLER,"REPORT,ANNUAL INSPECTION 3-PLY",,,KLLER,J.J. KELLER,2241,1.0,2241,053-000-000,EXPENDABLE ITEMS,,
W709159-S300,FORD MOTOR CO,"NUT, SPINDLE",,,FORDX,"FORD, A DIVISION OF FORD MOTOR CO.",W709159-S300,1.0,W709159S300,053-000-000,EXPENDABLE ITEMS,,
030805,MAXON,"COTTER PIN 1/8 X1""",,,MXNIN,"MAXON INDUSTRIES, INC.",030805,1.0,030805,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
227722,MAXON,"ROD, L-SHAPE 1/4",,,MXNIN,"MAXON INDUSTRIES, INC.",227722,1.0,227722,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
260478,MAXON,MAXON VERTICAL PLATE 3X10.125X,,,MXNIN,"MAXON INDUSTRIES, INC.",260478,1.0,260478,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
268009-02,MAXON,MAXON COVER SST,,,MXNIN,"MAXON INDUSTRIES, INC.",268009-02,1.0,26800902,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
269312-01,MAXON,"COVER, COLUMN - LH",,,MXNIN,"MAXON INDUSTRIES, INC.",269312-01,1.0,26931201,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
280063,MAXON,ROLLER BRACKET WELDT,,,MXNIN,"MAXON INDUSTRIES, INC.",280063,1.0,280063,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
280064,MAXON,ROLLER BRACKET WELDT RING SIDE,,,MXNIN,"MAXON INDUSTRIES, INC.",280064,1.0,280064,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
280630-01,MAXON,"F/S TUBE ASSY, CL LINE BMRA",,,MXNIN,"MAXON INDUSTRIES, INC.",280630-01,1.0,28063001,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
284604-01,MAXON,"COLUMN, COVER- RH",,,MXNIN,"MAXON INDUSTRIES, INC.",284604-01,1.0,28460401,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
284890-02G-400,MAXON,COLUMN & RUNNER ASSEMBLY RH,,,MXNIN,"MAXON INDUSTRIES, INC.",284890-02G-400,1.0,28489002G400,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
286327-01,MAXON,COLUMN COVER R/H,,,MXNIN,"MAXON INDUSTRIES, INC.",286327-01,1.0,28632701,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
286327-301,MAXON,COLUMN COVER RH,,,MXNIN,"MAXON INDUSTRIES, INC.",286327-301,1.0,286327301,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
289189-11,MAXON,"CHANNEL, VERTICAL 30""",,,MXNIN,"MAXON INDUSTRIES, INC.",289189-11,1.0,28918911,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
905033,MAXON,"PIN, ROLL",,,MXNIN,"MAXON INDUSTRIES, INC.",905033,1.0,905033,055-000-000,"CARGO HANDLING, RESTRAINTS AND LIFT SYSTEMS",,
15-29337-000,FREIGHTLINER,TOW PIN,,,FRGHT,FREIGHTLINER CORPORATION,15-29337-000,1.0,1529337000,059-000-000,VEHICLE COUPLING SYSTEM,,
01-3450-055,UTILITY,ALUM DOOR TRIM 106,,,UTLTY,UTILITY TRAILER MANUFACTURING CO.,01-3450-0-055,0.0,0134500055,071-000-000,BODY,,
03-8030-0-026,UTILITY,SOCKET LOCK ALUM SIDE,,,UTLTY,UTILITY TRAILER MANUFACTURING CO.,03-8030-0-026,1.0,0380300026,071-000-000,BODY,,
15144494,GENERAL MOTORS CORP,"SWITCH, A/C CLUTCH CYCLING",,,GMXXX,GENERAL MOTORS CORPORATION,15144494,1.0,15144494,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
20481316,VOLVO,"DUCT, AIR CONDITIONING",,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",20481316,1.0,20481316,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
2503677C1,NAVISTAR,"CORE VALVE, AC HOSE",,VMRS code is 001-001-352.,NVSTR,NAVISTAR INTERNATIONAL TRANSPORTATION CORP.,2503677C1,1.0,2503677C1,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
3839289C1,INTERNATIONAL,"PLATE ACTUATOR MOUNTING ,MODE",,,NVSTR,NAVISTAR INTERNATIONAL TRANSPORTATION CORP.,3839289C1,1.0,3839289C1,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
871330,"PACCAR, INC.","HARDLINE ASSY, SUCTION",,,PACCR,PACCAR CORPORATION,871330,1.0,871330,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
871331,"PACCAR, INC.",EXPANSION VALVE LINE,,,BRGSR,BERGSTROM,871331,1.0,871331,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
E8AZ-19D647-A,FORD MOTOR CO,A/C COMPRESSOR W/ CLUTCH -,,,FORDX,"FORD, A DIVISION OF FORD MOTOR CO.",E8AZ-19D647-A,1.0,E8AZ19D647A,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
F50-6408-20751,"PACCAR, INC.","HARDLINE, #10, HVAC, LIQUID",,,PACCR,PACCAR CORPORATION,F50-6408-20751,1.0,F50640820751,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
HG1Z-19D594-A,FORD MOTOR CO,"SWITCH, AC PRESSURE",,,FORDX,"FORD, A DIVISION OF FORD MOTOR CO.",HG1Z-19D594-A,1.0,HG1Z19D594A,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
T1000051M,FREIGHTLINER,COVER-HVAC,,,ENTUL,VALEO ENGINE COOLING DIV OF VALEO,T1000051M,1.0,T1000051M,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
T1000897K,FREIGHTLINER,EVAPORATOR,,VMRS code is 001-001-052.,ENTUL,VALEO ENGINE COOLING DIV OF VALEO,T1000897K,1.0,T1000897K,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
N83-MT2920,FREIGHTLINER,AC CAP,UNABLE TO VERIFY,,,,,,,001-001-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,
1000-ACC3414,VOLVO,COMPRESSOR/MP7,,,MACKX,"MACK TRUCKS, INC.",1000-ACC3414,1.0,1000ACC3414,001-001-002,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,COMPRESSOR - AIR CONDITIONING
198396,OREILLY AUTO PARTS,COMPRESSOR A/C,,,ORELY,O'REILLY AUTO PARTS,198396,1.0,198396,001-001-002,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,COMPRESSOR - AIR CONDITIONING
20721587,VOLVO,COMPRESSOR-AC,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",20721587,1.0,20721587,001-001-002,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,COMPRESSOR - AIR CONDITIONING
22-65771-000,FREIGHTLINER,COMPRESSOR-A/C.DENSO.160MM.8PK,,,FRGHT,FREIGHTLINER CORPORATION,22-65771-000,1.0,2265771000,001-001-002,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,COMPRESSOR - AIR CONDITIONING
22-75520-000,FREIGHTLINER,"COMPRESSOR, AC",,,FRGHT,FREIGHTLINER CORPORATION,22-75520-000,1.0,2275520000,001-001-002,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,COMPRESSOR - AIR CONDITIONING
22-75835-000,FREIGHTLINER,AC COMPRESSOR,,,FRGHT,FREIGHTLINER CORPORATION,22-75835-000,1.0,2275835000,001-001-002,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",AIR CONDITIONING ASSEMBLY - COMPLETE,COMPRESSOR - AIR CONDITIONING
